,GS,GS,GS,GS,GS,MS,MS,MS,MS,MS,SPY,SPY,SPY,SPY,SPY,WFC,WFC,WFC,WFC,WFC
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2020-03-18 00:00:00-04:00,150.0,155.97,135.41,140.18,7229403,31.34,32.84,27.2,30.75,21733841,236.25,248.37,228.02,241.01,256921808,27.7,28.89,26.9,28.14,39482878
2020-03-19 00:00:00-04:00,137.38,152.49,130.85,149.48,6033664,30.35,32.9,28.74,30.93,20873167,239.25,247.38,232.22,241.18,248430643,27.66,29.11,26.2875,28.29,49865465
2020-03-20 00:00:00-04:00,148.99,149.19,138.29,138.41,7490015,31.25,31.45,29.19,29.66,25426071,242.53,244.47,228.5,228.94,286308782,28.68,28.75,26.18,26.47,57765815
2020-03-23 00:00:00-04:00,136.03,141.935,133.26,134.97,4574057,29.15,29.7899,27.76,27.82,23517468,228.19,229.6833,218.26,222.51,268298876,26.26,26.87,25.105,25.23,40784032
2020-03-24 00:00:00-04:00,144.32,153.9,143.63,153.39,5692174,30.09,33.375,29.4,33.21,23506795,234.42,244.1,233.8,243.59,203576470,26.96,29.17,26.33,28.91,41672870
2020-03-25 00:00:00-04:00,154.6,162.21,145.32,155.16,7473382,33.9,35.48,32.25,33.98,24678813,244.87,256.35,239.75,246.77,267134999,29.0,30.2966,27.77,28.93,44570021
2020-03-26 00:00:00-04:00,156.37,167.66,154.31,165.78,6069715,33.8,36.85,33.33,35.7,23238351,249.52,262.8,249.05,261.39,211126369,29.33,31.39,29.08,30.86,37902854
2020-03-27 00:00:00-04:00,159.08,163.73,157.0,158.16,3690638,33.64,34.73,33.12,34.01,21740697,253.27,260.81,251.05,253.39,183116379,30.02,31.29,29.08,30.27,35069175
2020-03-30 00:00:00-04:00,158.52,160.43,153.18,159.51,3713957,33.53,35.34,32.97,34.83,16269855,255.7,262.43,253.53,261.68,134063155,30.4645,30.48,28.89,29.93,36637561
2020-03-31 00:00:00-04:00,158.13,161.1,153.72,154.61,2965435,34.53,35.29,33.715,34.02,14004537,260.56,263.33,256.22,257.7,154670712,29.41,29.75,28.16,28.71,31311072
2020-04-01 00:00:00-04:00,146.1,149.57,145.0,145.33,3840808,31.68,32.41,31.16,31.615,21223846,247.98,257.6591,243.9,246.12,164045526,27.0197,27.37,26.2,26.577,42693058
2020-04-02 00:00:00-04:00,143.02,150.453,141.67,149.93,3879385,31.34,34.0,31.25,33.88,18635006,245.19,252.68,244.59,251.87,149109437,26.47,27.53,26.38,27.22,27121650
2020-04-03 00:00:00-04:00,149.2,150.9195,145.23,147.07,2431762,33.56,34.3,32.86,33.84,14015778,250.76,253.32,245.22,248.21,170367346,27.0,27.36,25.91,26.23,29916693
2020-04-06 00:00:00-04:00,155.47,158.93,153.77,158.02,3638240,35.93,37.5,35.75,37.01,17017860,257.84,267.0,256.725,264.97,301998522,27.41,28.83,27.4,28.55,29385633
2020-04-07 00:00:00-04:00,166.0,169.1388,162.45,166.02,4428873,39.66,39.66,36.86,36.94,17763125,274.21,275.03,264.89,265.1,346619636,30.75,30.78,28.71,28.7473,35504489
2020-04-08 00:00:00-04:00,170.11,178.0974,168.78,176.86,4533480,37.71,39.785,37.45,39.37,13610031,267.96,276.0,265.2542,274.07,260269454,29.23,30.475,28.68,30.27,36758739
2020-04-09 00:00:00-04:00,180.58,187.328,179.77,184.26,5900575,40.26,41.85,40.26,41.07,19714714,277.58,281.2,275.47,278.24,314269174,31.12,33.91,31.1,33.19,56573015
2020-04-13 00:00:00-04:00,183.85,184.97,179.13,179.38,3948408,40.88,41.0,39.25,39.58,9801942,277.14,277.51,271.41,275.57,199751546,33.22,33.24,31.41,31.4499,32400128
2020-04-14 00:00:00-04:00,182.35,183.38,174.543,178.42,3725662,40.51,40.77,38.37,39.87,13386925,280.98,284.9,275.5106,283.87,232819595,32.11,32.5,29.56,30.16,58371896
2020-04-15 00:00:00-04:00,170.63,181.68,169.15,178.52,5529201,38.21,39.41,37.59,38.41,14416952,277.57,283.9407,275.46,277.75,218487148,28.77,29.11,28.22,28.44,39629746
2020-04-16 00:00:00-04:00,177.22,178.44,172.39,176.95,4238920,37.86,39.08,37.07,38.37,24413269,279.15,280.03,275.76,279.21,220969058,28.28,28.28,26.66,26.89,49397562
2020-04-17 00:00:00-04:00,183.49,185.28,178.29,183.4,5124077,39.55,40.1,38.19,39.07,21950566,285.38,287.3,282.4,286.73,256722285,28.15,28.78,27.8,28.35,41011975
2020-04-20 00:00:00-04:00,179.7,186.32,178.0221,180.4,4325496,38.19,39.54,37.82,38.3665,14030889,282.61,286.7912,281.35,281.61,177517226,27.325,28.89,26.92,27.66,40676260
2020-04-21 00:00:00-04:00,175.44,179.2,173.66,173.82,3404908,37.3,38.14,36.56,36.95,12962271,276.73,278.04,272.02,273.02,229046556,26.9,27.25,26.5,26.82,36113884
2020-04-22 00:00:00-04:00,177.5,178.18,174.47,176.39,1771756,37.87,38.09,37.44,37.955,8223577,278.35,280.515,276.91,279.91,143317025,27.5,27.5783,26.7,26.9,21238337
2020-04-23 00:00:00-04:00,177.0,179.07,174.45,175.04,1805382,38.1,38.39,37.28,37.48,7704603,280.49,283.94,278.75,279.06,193959102,26.95,27.21,26.42,26.5243,35752679
2020-04-24 00:00:00-04:00,177.0,177.95,173.49,176.91,1669411,37.97,38.19,37.26,37.98,6939033,280.73,283.7,278.5,283.04,144001106,26.8,27.29,26.37,26.9299,29912849
2020-04-27 00:00:00-04:00,179.1,184.25,178.72,183.54,2444510,38.64,39.55,38.33,39.31,10622353,285.12,288.27,284.62,287.11,135955115,27.37,28.5774,27.16,28.42,35859151
