,GS,GS,GS,GS,GS,MS,MS,MS,MS,MS,SPY,SPY,SPY,SPY,SPY,WFC,WFC,WFC,WFC,WFC
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2021-06-01 09:30:00-04:00,377.57,380.03,377.0,378.195,25900.0,92.41,92.79,91.895,92.12,64720.0,422.58,422.69,421.55,421.595,116900.0,47.15,47.365,46.795,46.965,69801.0
2021-06-01 09:45:00-04:00,377.35,379.09,377.33,378.72,7691.0,92.19,92.75,92.1,92.68,17071.0,421.62,421.64,421.045,421.31,18211.0,46.96,47.09,46.895,47.055,35782.0
2021-06-01 10:00:00-04:00,378.425,379.8,378.42,378.61,6132.0,92.7,93.08,92.69,92.825,31710.0,421.3,421.51,420.53,420.53,23310.0,47.055,47.29,47.055,47.29,27951.0
2021-06-01 10:15:00-04:00,379.02,379.68,377.73,378.44,13198.0,92.76,92.765,92.39,92.57,18284.0,420.395,420.445,420.0,420.445,35394.0,47.28,47.31,47.145,47.2,17079.0
2021-06-01 10:30:00-04:00,378.99,381.87,378.99,381.65,9437.0,92.59,93.3,92.59,93.24,18097.0,420.4,420.665,420.145,420.49,28345.0,47.215,47.4,47.215,47.39,31670.0
2021-06-01 10:45:00-04:00,381.39,381.39,379.95,380.37,9031.0,93.26,93.26,92.83,93.0,14256.0,420.24,420.24,419.465,419.83,30345.0,47.37,47.37,47.19,47.29,29909.0
2021-06-01 11:00:00-04:00,380.46,381.49,380.18,381.49,5487.0,93.03,93.13,92.87,93.1,10730.0,419.79,420.195,419.69,420.19,17458.0,47.28,47.39,47.275,47.38,18995.0
2021-06-01 11:15:00-04:00,381.5,382.07,381.34,381.97,6249.0,93.11,93.115,92.92,93.09,7803.0,420.205,420.305,420.07,420.23,41501.0,47.365,47.385,47.28,47.34,28202.0
2021-06-01 11:30:00-04:00,381.69,383.12,381.68,383.12,7017.0,93.025,93.04,92.885,92.96,30275.0,420.145,420.46,419.985,420.35,15334.0,47.3,47.36,47.275,47.33,14961.0
2021-06-01 11:45:00-04:00,382.91,383.03,382.37,383.03,4082.0,92.965,92.965,92.815,92.825,35322.0,420.34,420.375,420.07,420.34,9133.0,47.325,47.325,47.23,47.26,12973.0
2021-06-01 12:00:00-04:00,383.065,383.1,382.57,383.08,3954.0,92.82,92.82,92.63,92.74,9882.0,420.12,420.22,419.84,419.89,8420.0,47.27,47.27,47.21,47.245,9616.0
2021-06-01 12:15:00-04:00,383.03,383.11,381.88,382.35,2622.0,92.725,92.765,92.595,92.72,7832.0,419.95,420.1,419.75,420.0,6230.0,47.23,47.235,47.16,47.17,11133.0
2021-06-01 12:30:00-04:00,382.31,382.36,381.615,381.615,1581.0,92.71,92.755,92.58,92.58,7070.0,419.995,420.22,419.93,420.14,13836.0,47.17,47.185,47.105,47.11,12706.0
2021-06-01 12:45:00-04:00,381.705,382.135,380.91,380.975,2513.0,92.575,92.645,92.4,92.42,61021.0,420.15,420.18,419.7,419.8,16391.0,47.11,47.145,47.04,47.045,12255.0
2021-06-01 13:00:00-04:00,380.92,381.13,380.43,381.0,3264.0,92.365,92.38,92.195,92.225,13126.0,419.81,419.81,419.31,419.41,12289.0,47.04,47.05,46.995,47.05,13870.0
2021-06-01 13:15:00-04:00,381.08,381.59,380.77,381.58,2571.0,92.285,92.305,92.175,92.28,19936.0,419.4,419.4,419.22,419.32,22138.0,47.07,47.07,47.0,47.01,15038.0
2021-06-01 13:30:00-04:00,381.43,381.43,381.09,381.12,534.0,92.26,92.31,92.175,92.27,32186.0,419.28,419.45,419.26,419.29,10077.0,47.0,47.06,46.965,46.99,13174.0
2021-06-01 13:45:00-04:00,381.3,381.52,381.08,381.46,803.0,92.28,92.31,92.15,92.31,20559.0,419.36,419.63,419.25,419.62,11271.0,47.015,47.015,46.97,47.01,10795.0
2021-06-01 14:00:00-04:00,381.7,382.12,381.45,381.45,2319.0,92.26,92.405,92.215,92.255,5708.0,419.58,419.84,419.465,419.67,13027.0,47.01,47.08,46.995,47.045,17389.0
2021-06-01 14:15:00-04:00,381.61,382.24,381.48,382.19,3346.0,92.27,92.34,92.245,92.28,10982.0,419.68,420.04,419.67,420.02,11786.0,47.055,47.16,47.04,47.155,18273.0
2021-06-01 14:30:00-04:00,382.14,382.15,381.75,382.04,1877.0,92.26,92.37,92.24,92.34,11366.0,420.02,420.365,419.99,420.24,19759.0,47.15,47.17,47.12,47.135,12514.0
2021-06-01 14:45:00-04:00,381.845,382.11,381.79,382.1,728.0,92.34,92.355,92.185,92.215,48300.0,420.22,420.325,420.19,420.32,13622.0,47.11,47.145,47.08,47.14,7694.0
2021-06-01 15:00:00-04:00,382.15,382.19,381.88,382.16,3139.0,92.245,92.295,92.11,92.285,15759.0,420.32,420.32,419.97,420.04,26441.0,47.14,47.17,47.12,47.15,12140.0
2021-06-01 15:15:00-04:00,382.0,382.07,381.74,381.78,2147.0,92.255,92.255,92.095,92.095,24398.0,420.05,420.2,419.87,419.87,17628.0,47.14,47.18,47.125,47.14,8997.0
2021-06-01 15:30:00-04:00,381.74,381.76,381.0,381.0,5787.0,92.1,92.115,91.975,91.995,35015.0,419.875,419.875,419.47,419.545,35002.0,47.145,47.145,47.075,47.11,24833.0
2021-06-01 15:45:00-04:00,381.2,382.49,381.15,382.42,11825.0,91.985,92.17,91.985,92.12,111548.0,419.56,419.99,419.465,419.63,92880.0,47.12,47.27,47.115,47.25,92817.0
2021-06-02 09:30:00-04:00,383.77,384.38,379.52,380.25,15382.0,92.49,92.56,91.58,92.175,20129.0,420.27,420.275,419.57,419.89,18990.0,47.33,47.46,46.61,46.62,58400.0
2021-06-02 09:45:00-04:00,379.885,381.79,379.83,381.55,10666.0,92.045,92.74,92.045,92.735,13165.0,419.96,420.63,419.96,420.39,15661.0,46.65,46.76,46.585,46.725,23438.0
2021-06-02 10:00:00-04:00,381.87,382.85,380.92,382.28,6302.0,92.74,93.0,92.58,92.93,17261.0,420.375,420.63,420.245,420.48,14974.0,46.77,46.91,46.705,46.91,45518.0
2021-06-02 10:15:00-04:00,381.86,382.51,381.83,382.51,2375.0,92.92,92.92,92.55,92.625,11820.0,420.505,420.97,420.505,420.8,18402.0,46.91,46.93,46.785,46.91,22968.0
2021-06-02 10:30:00-04:00,382.13,382.23,381.91,381.91,1991.0,92.625,92.75,92.46,92.75,9083.0,420.89,420.95,420.54,420.82,17837.0,46.93,46.975,46.825,46.97,29188.0
2021-06-02 10:45:00-04:00,382.58,383.31,382.46,383.3,1914.0,92.78,92.97,92.75,92.805,13409.0,420.85,420.97,420.53,420.68,11716.0,46.94,47.11,46.915,47.065,25856.0
2021-06-02 11:00:00-04:00,383.15,383.27,382.51,382.98,3680.0,92.82,93.14,92.72,93.14,20428.0,420.69,421.09,420.525,421.065,20118.0,47.06,47.15,46.98,47.07,28065.0
2021-06-02 11:15:00-04:00,382.95,382.95,382.19,382.19,3463.0,93.13,93.13,92.89,92.93,15348.0,421.12,421.185,420.87,421.05,8672.0,47.07,47.11,47.05,47.075,18992.0
2021-06-02 11:30:00-04:00,382.03,382.315,381.74,381.95,1041.0,92.94,93.06,92.84,92.94,11960.0,421.11,421.18,420.925,421.095,9680.0,47.095,47.095,46.965,46.985,23293.0
2021-06-02 11:45:00-04:00,381.56,382.32,381.56,382.25,1298.0,92.93,93.035,92.85,92.88,9446.0,421.04,421.1,420.78,420.83,10953.0,46.98,47.0,46.945,46.975,21187.0
2021-06-02 12:00:00-04:00,381.66,381.67,381.14,381.2,3985.0,92.89,92.895,92.805,92.855,6677.0,420.85,420.88,420.73,420.77,5810.0,46.985,46.985,46.88,46.9,23370.0
2021-06-02 12:15:00-04:00,381.53,381.75,381.21,381.4,1948.0,92.87,92.915,92.8,92.8,6585.0,420.85,420.86,420.3,420.39,13630.0,46.9,46.925,46.82,46.825,16530.0
2021-06-02 12:30:00-04:00,380.92,381.29,380.5,380.59,2332.0,92.775,92.78,92.63,92.69,9085.0,420.365,420.39,420.19,420.35,11424.0,46.825,46.84,46.725,46.755,46217.0
2021-06-02 12:45:00-04:00,380.93,381.38,380.8,381.28,1189.0,92.71,92.83,92.695,92.83,3890.0,420.41,420.49,420.36,420.43,9202.0,46.77,46.84,46.77,46.825,10140.0
2021-06-02 13:00:00-04:00,381.21,381.21,380.125,380.125,1275.0,92.85,92.85,92.41,92.44,4289.0,420.47,420.53,420.245,420.245,15133.0,46.825,46.845,46.71,46.73,22720.0
2021-06-02 13:15:00-04:00,380.22,380.22,379.63,380.04,3659.0,92.43,92.44,92.18,92.31,5907.0,420.28,420.29,419.65,419.83,21830.0,46.735,46.765,46.675,46.705,15271.0
2021-06-02 13:30:00-04:00,380.29,380.46,380.0,380.46,788.0,92.26,92.26,92.12,92.2,9748.0,419.77,420.03,419.77,419.855,7564.0,46.705,46.775,46.685,46.755,11892.0
2021-06-02 13:45:00-04:00,380.92,381.06,380.54,381.06,1778.0,92.2,92.38,92.165,92.38,16500.0,419.85,419.99,419.58,419.785,15766.0,46.755,46.775,46.725,46.745,20871.0
2021-06-02 14:00:00-04:00,381.15,382.695,381.15,382.695,3720.0,92.43,92.66,92.43,92.655,11842.0,419.805,420.03,419.3,419.43,19225.0,46.745,46.825,46.725,46.81,26099.0
2021-06-02 14:15:00-04:00,382.91,383.64,382.865,383.285,4398.0,92.65,92.92,92.65,92.85,8672.0,419.41,419.92,419.41,419.805,8833.0,46.81,46.905,46.805,46.865,21452.0
2021-06-02 14:30:00-04:00,383.37,383.83,383.37,383.63,3222.0,92.86,92.99,92.84,92.94,4285.0,419.77,419.87,419.695,419.75,13558.0,46.88,46.915,46.845,46.895,19326.0
2021-06-02 14:45:00-04:00,383.2,383.85,383.2,383.85,1284.0,92.92,92.94,92.84,92.92,8603.0,419.79,419.92,419.71,419.89,39223.0,46.9,46.925,46.85,46.925,27335.0
2021-06-02 15:00:00-04:00,384.01,384.63,383.68,384.22,2879.0,92.95,93.01,92.895,92.985,9596.0,419.88,420.05,419.71,419.98,42457.0,46.925,46.935,46.89,46.9,31795.0
