,GS,GS,GS,GS,GS,MS,MS,MS,MS,MS,SPY,SPY,SPY,SPY,SPY,WFC,WFC,WFC,WFC,WFC
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2019-01-02 00:00:00-05:00,164.33,172.25,163.35,171.56,3592312,39.02,40.72,38.76,40.305,9225170,245.98,251.21,245.95,249.89,107236613,45.525,46.93,45.41,46.865,16553465
2019-01-03 00:00:00-05:00,170.66,171.77,168.29,169.63,3462254,40.22,40.22,39.25,39.675,10212075,248.23,248.57,244.03,244.46,113782919,46.65,47.345,46.37,46.655,19953966
2019-01-04 00:00:00-05:00,172.99,176.0,171.1,175.4901,2794038,40.5,41.58,40.28,41.555,10212613,247.59,253.11,247.17,252.41,122528832,47.42,48.11,47.2,47.915,19804914
2019-01-07 00:00:00-05:00,175.23,177.825,172.27,176.07,2609770,41.51,42.16,40.98,41.77,10626187,252.69,255.95,251.69,254.4,88317608,47.78,48.23,47.54,47.715,17632046
2019-01-08 00:00:00-05:00,177.78,178.0999,172.9,175.32,2306569,42.3,42.41,41.08,41.435,9944602,256.82,257.31,254.0,256.65,88864452,47.9,48.16,46.92,47.54,16653807
2019-01-09 00:00:00-05:00,176.1,177.69,174.91,176.24,3005283,41.91,42.21,41.25,41.68,8183880,257.56,258.91,241.4,257.71,77555720,47.51,47.98,47.08,47.71,16700738
2019-01-10 00:00:00-05:00,175.66,178.07,175.5,175.98,2405799,41.38,41.96,41.24,41.65,6626860,256.26,259.16,255.5,258.94,85909797,47.5,48.05,47.31,47.765,11881028
2019-01-11 00:00:00-05:00,175.1,176.86,172.42,176.79,2863174,41.28,41.87,40.96,41.71,7311145,257.68,259.0098,257.03,258.76,60544770,47.5,48.09,47.18,47.9202,16442952
2019-01-14 00:00:00-05:00,174.52,179.54,174.1,178.87,2733903,41.31,42.79,41.12,42.49,10472967,256.86,258.3,256.41,257.69,51552561,47.51,48.42,47.4,48.42,17720290
2019-01-15 00:00:00-05:00,178.32,179.76,176.4,179.6159,2522921,42.21,42.99,42.03,42.845,10685158,257.82,260.7,257.25,260.21,72130969,47.6,48.25,47.01,47.53,23948046
2019-01-16 00:00:00-05:00,187.0,198.15,185.6,197.23,13418143,44.0,45.1069,43.67,44.66,27103483,260.83,261.9666,260.6,260.94,59299089,48.15,49.34,47.99,48.965,28357723
2019-01-17 00:00:00-05:00,195.95,199.8,192.83,198.99,7513451,42.45,43.18,41.61,42.5,40678315,260.01,263.92,259.96,262.88,79893207,48.64,49.3632,48.4,49.22,22964129
2019-01-18 00:00:00-05:00,200.38,202.98,196.91,202.5,5049624,43.02,43.695,42.56,43.66,18212419,264.98,266.98,262.998,266.16,99666883,49.1,50.155,48.86,50.0,27458903
2019-01-22 00:00:00-05:00,200.5,201.47,195.92,197.2646,3830751,42.42,42.74,41.93,42.215,17655073,264.82,265.06,261.06,261.97,88775864,49.77,50.1,49.63,49.66,26136789
2019-01-23 00:00:00-05:00,197.55,198.09,194.53,197.085,2726623,42.52,42.62,41.655,42.14,13233146,264.01,264.79,260.66,263.1,74195206,50.0,50.32,49.495,50.13,13990040
2019-01-24 00:00:00-05:00,196.22,199.68,195.76,198.04,2210647,41.95,42.58,41.84,42.05,11829450,263.21,264.2,262.08,263.69,48407752,49.79,50.34,49.65,50.005,16166687
2019-01-25 00:00:00-05:00,199.83,201.19,199.42,200.745,2689382,42.67,43.25,42.55,42.935,11355208,265.61,266.7,263.6595,265.7,78094541,50.4,50.54,49.96,50.0601,17575795
2019-01-28 00:00:00-05:00,197.99,200.07,197.1,199.69,2101768,42.44,42.73,42.06,42.615,8085185,263.39,263.82,261.79,263.635,75207990,49.77,49.9,49.195,49.75,16156325
2019-01-29 00:00:00-05:00,199.0,201.97,197.87,200.54,2424334,42.53,42.7,42.11,42.47,8026413,263.92,264.55,262.48,263.31,54249161,49.78,50.11,49.72,49.845,10393986
2019-01-30 00:00:00-05:00,200.9,203.29,199.65,202.3,2462638,42.35,42.97,42.065,42.78,11325803,265.1,268.52,264.25,267.4625,75091893,49.84,50.35,49.59,50.035,12807971
2019-01-31 00:00:00-05:00,200.1,202.35,196.95,198.0398,3769367,42.3,42.67,42.175,42.335,9415059,267.51,270.47,267.27,270.2325,73699733,49.28,49.415,48.66,48.985,20024631
2019-02-01 00:00:00-05:00,198.0,199.64,196.59,196.73,2777108,42.3,42.7254,41.84,41.855,11024378,270.15,271.2,269.18,270.07,68194167,49.0,49.08,48.79,48.82,17794629
2019-02-04 00:00:00-05:00,195.8,197.695,194.786,197.62,2048116,41.9,42.4,41.68,42.4,7239828,270.11,271.8,269.36,271.78,46985797,48.85,49.15,48.71,49.08,14332218
2019-02-05 00:00:00-05:00,198.12,199.325,196.86,197.71,2079556,42.38,42.56,42.22,42.425,9058381,272.44,273.44,271.88,273.13,61540042,49.27,49.32,48.75,49.2,11968395
2019-02-06 00:00:00-05:00,197.18,199.06,195.83,196.7,1745223,42.3,42.85,42.09,42.405,8448606,272.79,273.34,271.92,272.7,43446324,49.09,49.53,49.0675,49.255,9836190
2019-02-07 00:00:00-05:00,195.28,195.88,191.05,192.75,2549499,42.11,42.18,41.035,41.395,11453586,270.94,271.55,268.29,269.97,83380785,49.09,49.3,47.71,48.05,21002351
2019-02-08 00:00:00-05:00,191.72,192.62,188.2158,191.54,2458953,41.03,41.34,40.115,40.76,12523609,268.75,270.2874,267.83,270.08,63409417,47.94,48.04,47.06,47.565,16495774
2019-02-11 00:00:00-05:00,192.88,193.32,191.07,191.4,1616553,41.0,41.08,40.22,40.235,15076436,271.2,271.49,270.03,270.64,57175393,47.87,47.96,47.38,47.685,12875127
2019-02-12 00:00:00-05:00,193.05,195.65,193.0,194.45,2103173,40.65,41.5,40.65,41.12,10170992,272.42,274.52,272.34,274.075,60116740,48.01,49.46,48.01,49.0,18980041
2019-02-13 00:00:00-05:00,195.92,198.78,194.87,194.95,2275253,41.5,42.03,41.17,41.21,8086244,275.03,275.93,274.56,274.98,54446766,49.24,49.71,49.03,49.04,12030104
2019-02-14 00:00:00-05:00,192.21,194.13,189.44,192.56,2581830,40.81,41.53,40.28,40.7299,9195441,273.78,275.64,266.75,274.535,72729366,48.63,48.91,48.03,48.54,14151511
2019-02-15 00:00:00-05:00,193.21,198.8899,193.1,198.68,2708269,41.16,42.08,41.13,41.995,11138334,276.36,277.34,276.13,277.27,74792740,49.09,49.42,48.49,49.2384,16446305
