,GS,GS,GS,GS,GS
,open,high,low,close,volume
2021-06-08 00:00:00-04:00,385.79,386.4799,382.22,384.8,1946972
2021-06-09 00:00:00-04:00,383.44,384.27,378.88,382.78,1817307
2021-06-10 00:00:00-04:00,389.08,389.64,372.345,373.75,3302197
2021-06-11 00:00:00-04:00,375.47,378.75,375.11,378.23,1692723
2021-06-14 00:00:00-04:00,377.43,378.75,370.7,373.07,2023651
2021-06-15 00:00:00-04:00,373.5,374.84,367.16,371.6,2028770
2021-06-16 00:00:00-04:00,370.99,374.0788,365.25,371.07,2673244
2021-06-17 00:00:00-04:00,373.52,373.52,356.55,361.5,3677802
2021-06-18 00:00:00-04:00,356.72,358.38,348.125,348.79,4364156
2021-06-21 00:00:00-04:00,352.59,357.97,351.04,357.68,2295332
2021-06-22 00:00:00-04:00,358.33,359.88,352.64,357.53,1514480
2021-06-23 00:00:00-04:00,358.79,362.48,357.66,361.16,1491540
2021-06-24 00:00:00-04:00,363.0,370.88,362.78,368.73,2276831
2021-06-25 00:00:00-04:00,370.6,371.1499,364.54,368.67,2176947
2021-06-28 00:00:00-04:00,368.03,368.87,363.86,368.595,1491640
2021-06-29 00:00:00-04:00,374.75,378.09,370.7495,372.62,2151889
2021-06-30 00:00:00-04:00,370.9,380.11,370.9,379.445,1823472
2021-07-01 00:00:00-04:00,380.55,381.64,374.145,374.96,2290040
2021-07-02 00:00:00-04:00,376.31,376.6,372.42,374.16,1385037
2021-07-06 00:00:00-04:00,373.23,373.6313,365.405,369.86,1858520
2021-07-07 00:00:00-04:00,366.69,370.09,362.18,367.69,1729405
