,High,Low,Open,Close,Volume,stock_change,stock_change_scaled
2021-06-07,392.89,393.2603,387.55,388.09,1815955,0.13933685976002158,-1.506250883525609
2021-06-08,385.79,386.4799,382.22,384.8,1946972,0.675003924441417,-0.5748544455656034
2021-06-09,383.44,384.27,378.88,382.78,1817307,1.0293496621621563,0.04126773121169436
2021-06-10,389.08,389.64,372.345,373.75,3302197,0.37733822127327415,-1.0924236483661687
2021-06-11,375.47,378.75,375.11,378.23,1692723,0.8317560182346523,-0.30230018298716943
2021-06-14,377.43,378.75,370.7,373.07,2023651,0.6393309954140827,-0.6368811058147663
2021-06-15,373.5,374.84,367.16,371.6,2028770,1.2092820568689393,0.35412697261976905
2021-06-16,370.99,374.0788,365.25,371.07,2673244,1.593429158110881,1.022066566707404
2021-06-17,373.52,373.52,356.55,361.5,3677802,1.3883045856121128,0.6654041755315419
2021-06-18,356.72,358.38,348.125,348.79,4364156,0.19102333931777965,-1.4163805029760383
2021-06-21,352.59,357.97,351.04,357.68,2295332,1.8915223336371882,1.540379041323565
2021-06-22,358.33,359.88,352.64,357.53,1514480,1.3866833030852956,0.6625851544082207
2021-06-23,358.79,362.48,357.66,361.16,1491540,0.978583011798915,-0.047003287174712235
2021-06-24,363.0,370.88,362.78,368.73,2276831,1.6401124648547456,1.1032376307512448
2021-06-25,370.6,371.1499,364.54,368.67,2176947,1.1329346573764183,0.22137717218703515
2021-06-28,368.03,368.87,363.86,368.595,1491640,1.301324685318533,0.5141670085503284
2021-06-29,374.75,378.09,370.7495,372.62,2151889,0.5045185495867136,-0.8712875872193506
2021-06-30,370.9,380.11,370.9,379.445,1823472,2.303855486654089,2.2573274133523404
2021-07-01,380.55,381.64,374.145,374.96,2290040,0.2178299857007304,-1.369770179883682
2021-07-02,376.31,376.6,372.42,374.16,1385037,0.4672144353149694,-0.9361504870405691
2021-07-06,373.23,373.6313,365.405,369.86,1858520,1.2191951396395893,0.3713634439105281
