,High,Low,Open,Close,Volume,stock_change,stock_change_scaled
2021-06-07,392.89,393.2603,387.55,388.09,1815955,0.13933685976002158,-1.4568612783182373
2021-06-08,385.79,386.4799,382.22,384.8,1946972,0.675003924441417,-0.544761275479394
2021-06-09,383.44,384.27,378.88,382.78,1817307,1.0293496621621563,0.05859623833984897
2021-06-10,389.08,389.64,372.345,373.75,3302197,0.37733822127327415,-1.0516076108354289
2021-06-11,375.47,378.75,375.11,378.23,1692723,0.8317560182346523,-0.27785372297036953
2021-06-14,377.43,378.75,370.7,373.07,2023651,0.6393309954140827,-0.605502883116694
2021-06-15,373.5,374.84,367.16,371.6,2028770,1.2092820568689393,0.36497374135185506
2021-06-16,370.99,374.0788,365.25,371.07,2673244,1.593429158110881,1.019075132374856
2021-06-17,373.52,373.52,356.55,361.5,3677802,1.3883045856121128,0.6698019821397876
2021-06-18,356.72,358.38,348.125,348.79,4364156,0.19102333931777965,-1.3688528095142034
2021-06-21,352.59,357.97,351.04,357.68,2295332,1.8915223336371882,1.5266493406295674
2021-06-22,358.33,359.88,352.64,357.53,1514480,1.3866833030852956,0.6670413647809585
2021-06-23,358.79,362.48,357.66,361.16,1491540,0.978583011798915,-0.027846003480584393
2021-06-24,363.0,370.88,362.78,368.73,2276831,1.6401124648547456,1.0985645149056469
2021-06-25,370.6,371.1499,364.54,368.67,2176947,1.1329346573764183,0.23497421760796916
2021-06-28,368.03,368.87,363.86,368.595,1491640,1.301324685318533,0.5216981084176221
2021-06-29,374.75,378.09,370.7495,372.62,2151889,0.5045185495867136,-0.8350529905047419
2021-06-30,370.9,380.11,370.9,379.445,1823472,2.303855486654089,2.2287441581650733
2021-07-01,380.55,381.64,374.145,374.96,2290040,0.2178299857007304,-1.3232081472713757
2021-07-02,376.31,376.6,372.42,374.16,1385037,0.4672144353149694,-0.8985720772221526
