Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,12/13/2020,US,13564,12038,1355,13564,12038,1355,12038,13564,1355,1543,12038,1543,1543
Admin,12/14/2020,US,4008,3874,7,17572,15912,1362,7956,8786,681,39,15912,1582,791
Admin,12/15/2020,US,50362,46873,32,67934,62785,1394,20928,22644,465,93,62785,1675,558
Admin,12/16/2020,US,160987,153951,220,228921,216736,1614,54184,57230,404,280,216736,1955,488
Admin,12/17/2020,US,275939,264464,570,504860,481200,2184,96240,100972,437,615,481200,2570,514
Admin,12/18/2020,US,420466,407619,734,925326,888819,2918,148137,154221,486,749,888819,3319,553
Admin,12/19/2020,US,183547,177765,966,1108873,1066584,3884,152369,158410,555,972,1066584,4291,613
Admin,12/20/2020,US,105201,102433,553,1214074,1169017,4437,165283,171501,440,626,1169017,4917,482
Admin,12/21/2020,US,382874,373214,951,1596948,1542231,5388,218046,225625,575,969,1542231,5886,614
Admin,12/22/2020,US,448964,439078,2252,2045912,1981309,7640,274075,282568,892,2267,1981309,8153,925
Admin,12/23/2020,US,570776,557941,1854,2616688,2539250,9494,331788,341109,1126,1864,2539250,10017,1151
Admin,12/24/2020,US,195335,189507,939,2812023,2728757,10433,321080,329594,1178,946,2728757,10963,1199
Admin,12/25/2020,US,12340,12211,63,2824363,2740968,10496,264593,271291,1083,63,2740968,11026,1101
Admin,12/26/2020,US,139226,136519,442,2963589,2877487,10938,258700,264959,1008,447,2877487,11473,1026
Admin,12/27/2020,US,94063,91972,403,3057652,2969459,11341,257206,263368,986,450,2969459,11923,1000
Admin,12/28/2020,US,585117,570052,2700,3642769,3539511,14041,285326,292260,1236,2711,3539511,14634,1249
Admin,12/29/2020,US,715622,692570,4117,4358391,4232081,18158,321539,330354,1503,4128,4232081,18762,1515
Admin,12/30/2020,US,836600,811482,6410,5194991,5043563,24568,357759,368329,2153,6419,5043563,25181,2166
Admin,12/31/2020,US,419039,406528,2477,5614030,5450091,27045,388762,400286,2373,2487,5450091,27668,2386
Admin,1/1/2021,US,57909,54328,2651,5671939,5504419,29696,394779,406796,2743,2927,5504419,30595,2795
Admin,1/2/2021,US,255640,247764,2551,5927579,5752183,32247,410671,423427,3044,2565,5752183,33160,3098
Admin,1/3/2021,US,134043,127113,2266,6061622,5879296,34513,415691,429138,3310,2274,5879296,35434,3358
Admin,1/4/2021,US,641770,584085,44092,6703392,6463381,78605,417696,437231,9223,44131,6463381,79565,9275
Admin,1/5/2021,US,814951,714362,86044,7518343,7177743,164649,420809,451421,20927,86081,7177743,165646,20983
Admin,1/6/2021,US,1006187,818460,169131,8524530,7996203,333780,421806,475648,44173,169185,7996203,334831,44235
Admin,1/7/2021,US,1146147,849034,274199,9670677,8845237,607979,485021,579521,82991,274225,8845237,609056,83055
Admin,1/8/2021,US,1210300,829749,356384,10880977,9674986,964363,595795,744148,133524,356422,9674986,965478,133554
Admin,1/9/2021,US,499058,364854,125995,11380035,10039840,1090358,612522,778922,151159,126004,10039840,1091482,151188
Admin,1/10/2021,US,244694,172419,68039,11624729,10212259,1158397,618995,794729,160555,68057,10212259,1159539,160586
Admin,1/11/2021,US,1049288,711240,317436,12674017,10923499,1475833,637160,852946,199604,317467,10923499,1477006,199634
Admin,1/12/2021,US,1232129,899671,309740,13906146,11823170,1785573,663632,912543,231561,309785,11823170,1786791,231592
Admin,1/13/2021,US,1302291,1014289,266956,15208437,12837459,2052529,691608,954843,245536,266994,12837459,2053785,245564
Admin,1/14/2021,US,1291349,1140584,131784,16499786,13978043,2184313,733258,975587,225191,131812,13978043,2185597,225220
Admin,1/15/2021,US,1238967,1106784,116775,17738753,15084827,2301088,772834,979682,190961,116833,15084827,2302430,190993
Admin,1/16/2021,US,642650,565081,69789,18381403,15649908,2370877,801438,1000195,182931,69808,15649908,2372238,182965
Admin,1/17/2021,US,298296,254780,40678,18679699,15904688,2411555,813204,1007852,179023,40685,15904688,2412923,179054
Admin,1/18/2021,US,862684,630296,222164,19542383,16534984,2633719,801641,981195,165412,222210,16534984,2635133,165446
Admin,1/19/2021,US,1325434,961188,344820,20867817,17496172,2978539,810429,994524,170424,344850,17496172,2979983,170456
Admin,1/20/2021,US,1596744,1162265,412739,22464561,18658437,3391278,831568,1036589,191250,412785,18658437,3392768,191283
Admin,1/21/2021,US,1611770,1323886,264514,24076331,19982323,3655792,857754,1082363,210211,264561,19982323,3657329,210247
