,Date,Text,Compound,Positive,Negative,Neutral
0,2021-06-17,"With excess saving they can afford more of everything, Jason Furman, a Harvard economist and former Obama administration official, wrote this week.
Although companies are increasing the supply of ma… [+2099 chars]",0.0,0.0,0.0,1.0
1,2021-06-21,"10. And finally, figuring out how to be a super-ager.
Maybe you know some people in their 80s or 90s who are still sharp as a tack, with brains that function as if they were 30 years younger.
Scien… [+844 chars]",0.0,0.0,0.0,1.0
2,2021-06-10,"4. As the U.S. withdraws from Afghanistan, interpreters fear being left behind.
A program to bring people employed by the American military to the U.S. is backlogged, with thousands of visa applican… [+481 chars]",-0.4939,0.0,0.091,0.909
3,2021-06-16,"A day after ousting two top executives, the electric truck start-up Lordstown Motors said on Tuesday that it was on track to start production in September even if it does not raise additional funding… [+3149 chars]",0.2023,0.05,0.0,0.95
4,2021-06-10,,0.0,0.0,0.0,0.0
5,2021-06-14,"This story originally appeared on StockMarketAre These Good Inflation Stocks To Invest In Now?
As we start the current week of trading, inflation stocks appear to be on investors minds. For the unin… [+6832 chars]",0.4404,0.079,0.0,0.921
6,2021-06-07,"By Reuters Staff
BRASILIA, June 7 (Reuters) - Forecasts for Brazils growth and inflation in 2021 rose to new highs, a survey of economists showed on Monday, with inflation moving further above the u… [+1066 chars]",0.3818,0.075,0.0,0.925
7,2021-06-25,"MEXICO CITY, June 25 (Reuters) - Mexico is facing an unprecedented situation in terms of the shocks affecting inflation due to the COVID-19 pandemic and future interest rate moves will depend on the … [+1677 chars]",0.1027,0.08,0.069,0.851
8,2021-06-25,"By Reuters Staff
BRASILIA, June 25 (Reuters) - Brazils central bank will do whatever it takes to meet its 2024 inflation goal of 3%, bank chief Roberto Campos Neto said on Friday, adding that anchor… [+461 chars]",0.0,0.0,0.0,1.0
9,2021-06-23,"U.S. Treasury Secretary Janet Yellen testifies before the Senate Appropriations Subcommittee on Financial Services about the FY22 Treasury budget request on Capitol Hill, in Washington, DC, U.S., Jun… [+2630 chars]",0.3818,0.114,0.0,0.886
10,2021-06-09,"By Reuters Staff
(Adds details)
ACCRA, June 9 (Reuters) - Ghanas consumer price inflation was at 7.5% year-on-year in May, down from 8.5% in the previous month, due to an ongoing decline in food in… [+900 chars]",0.0,0.0,0.0,1.0
11,2021-06-09,"Employees work on a production line manufacturing metal parts for furniture at a factory in Hangzhou, Zhejiang province, China April 30, 2020. China Daily via REUTERS The Peoples Republic has an unus… [+1901 chars]",0.0,0.0,0.0,1.0
12,2021-06-24,"Dallas Federal Reserve Bank President Robert Kaplan speaks during an interview in his office at the bank's headquarters in Dallas, Texas, U.S. January 9, 2020. REUTERS/ Ann Saphir/File PhotoJune 24 (… [+708 chars]",0.0,0.0,0.0,1.0
13,2021-06-25,"* Consumer spending unchanged in May; April revised up
* Core PCE price index rises 0.5%; gains 3.4% year-on-year
* Personal income decreases 2.0%: wages increase 0.8%
WASHINGTON, June 25 (Reuters… [+4252 chars]",0.5719,0.144,0.0,0.856
14,2021-06-25,"NEW YORK, June 25 (Reuters) - The U.S. dollar ended unchanged on Friday, erasing an early drop after tamer-than-expected producer price inflation, with investors continuing to evaluate whether that t… [+2874 chars]",-0.2732,0.0,0.065,0.935
15,2021-06-04,"Customers visit Macy's flagship store in New York City, New York, U.S., May 20, 2021. REUTERS/Eduardo Munoz/File photo1/ HIGH ALERT
A critical view into inflation comes with Thursday's May U.S. cons… [+4124 chars]",0.2577,0.122,0.065,0.814
16,2021-06-09,"The dollar clung to a small bounce on Wednesday as traders looked to upcoming U.S. inflation data and a European Central Bank (ECB) meeting to gauge the global recovery and policymakers' thinking.
I… [+3761 chars]",0.0,0.0,0.0,1.0
17,2021-06-16,"HAVANA, June 16 (Reuters) - Cubans woke up all last year wondering where they could find basic goods such as milk, pork, rice, beans, medicine or shampoo. These days, they also ask themselves: ""if I … [+3586 chars]",0.0,0.0,0.0,1.0
18,2021-06-10,"By Reuters Staff
(The authors are Reuters Breakingviews columnists. The opinions expressed are their own.)
Chairman of the Federal Reserve Jerome Powell listens during a Senate Banking Committee he… [+1932 chars]",0.0,0.0,0.0,1.0
19,2021-06-10,"Chairman of the Federal Reserve Jerome Powell listens during a Senate Banking Committee hearing on Capitol Hill in Washington, December 1, 2020. Susan Walsh/Pool via REUTERSAccelerating U.S. inflatio… [+1855 chars]",0.0,0.0,0.0,1.0
20,2021-06-09,"A U.S. Dollar banknote is seen in this illustration taken May 26, 2020. REUTERS/Dado Ruvic/IllustrationThe dollar clung to its recent small bounce on Wednesday as traders looked to upcoming U.S. infl… [+3898 chars]",0.0,0.0,0.0,1.0
21,2021-06-16,"Britain's Chancellor of the Exchequer Rishi Sunak meets with U.S. Treasury Secretary Janet Yellen (not pictured), in London, Britain June 3, 2021. REUTERS/Hannah McKay/Pool/FilesLONDON, June 16 (Reut… [+702 chars]",0.2023,0.06,0.0,0.94
22,2021-06-08,"By Reuters Staff
* KOSPI falls, foreigners net sellers
* Korean won weakens against U.S. dollar
* South Korea benchmark bond yield falls
* For the midday report, please click
SEOUL, June 8 (Reut… [+1919 chars]",0.5719,0.165,0.063,0.771
23,2021-06-10,"By Reuters Staff
* KOSPI rises, foreigners net buyers
* Korean won flat against U.S. dollar
* South Korea benchmark bond yield falls
* For the midday report, please click
SEOUL, June 10 (Reuters… [+1804 chars]",0.7184,0.167,0.0,0.833
24,2021-06-09,"By Reuters Staff
* KOSPI falls, foreigners net sellers
* Korean won weakens against U.S. dollar
* South Korean benchmark bond yield falls
* For the midday report, please click
SEOUL, June 9 (Reu… [+1709 chars]",0.5719,0.165,0.063,0.771
25,2021-06-01,"* Euro zone periphery govt bond yields tmsnrt.rs/2ii2Bqr
LONDON, June 1 (Reuters) - Euro zone bond yields drifted higher on Tuesday ahead of a flash reading of inflation in the currency bloc that co… [+1786 chars]",0.0,0.0,0.0,1.0
26,2021-06-04,"(For a Reuters live blog on U.S., UK and European stock markets, click LIVE/ or type LIVE/ in a news window.)
* Nonfarm payrolls increase 559,000 in May, below estimates
* Tech jumps, financials la… [+2150 chars]",0.3182,0.067,0.0,0.933
27,2021-06-04,"By Reuters Staff
1/ HIGH ALERT
FILE PHOTO: Customers visit Macy's flagship store in New York City, New York, U.S., May 20, 2021. REUTERS/Eduardo Munoz/File photo
A critical view into inflation com… [+4467 chars]",0.2577,0.118,0.063,0.819
28,2021-06-16,"* Feds policy statement due at 2 p.m. EDT (1800 GMT)
* Fed may remain accommodative over next year, analyst says (Updates prices, adds Yelens comment on inflation)
June 16 (Reuters) - Gold prices t… [+1776 chars]",0.0,0.0,0.0,1.0
29,2021-06-21,"* Euro zone periphery govt bond yields tmsnrt.rs/2ii2Bqr (Updates throughout)
LONDON, June 21 (Reuters) - Euro zone government bond yields were broadly steady on Monday, rising by less than one basi… [+2449 chars]",0.0,0.0,0.0,1.0
30,2021-06-21,"* BoE set to keep rates at record-low 0.1% in June 24 decision
* Haldane likely to call again for early end to bond purchases
* Inflation exceeds 2% target, BoE sees pressure as transient
LONDON, … [+3458 chars]",-0.296,0.0,0.061,0.939
31,2021-06-02,"* Scholz looking closely at inflation
* But sees much to suggest cenbanks assessment is correct
* Says economy could grow faster than currently forecast (Adds details on inflation)
BERLIN, June 2 … [+2267 chars]",0.0,0.0,0.0,1.0
32,2021-06-09,"By Reuters Staff
* China May PPI +9% y/y, fastest pace in over 12 years
* U.S. Senate passes sweeping bill to address China tech threat
BEIJING, June 9 (Reuters) - China shares rose on Wednesday, … [+1878 chars]",-0.296,0.059,0.09,0.851
33,2021-06-01,"* Focus on U.S. payrolls data on Friday
* China factory growth picks up in May - survey
* Silver hits two-week high (Recasts, adds comments, updates prices)
June 1 (Reuters) - Gold prices rose to … [+1854 chars]",0.3818,0.077,0.0,0.923
34,2021-06-11,"By Reuters Staff
* KOSPI rises, foreigners net buyers
* Korean won strengthens against U.S. dollar
* South Korea benchmark bond yield rises
* For the midday report, please click
SEOUL, June 11 (… [+1902 chars]",0.8402,0.237,0.0,0.763
35,2021-06-11,"* Gold stocks top gainers on ASX 200
* Afterpay closes at over one-month high
* ASX200 marks fourth straight week of gains (Updates to close)
June 11 (Reuters) - Australian shares ended at a recor… [+1866 chars]",0.743,0.223,0.0,0.777
36,2021-06-15,"* Traders watching for clues on timing of Fed tapering
* Bitcoin hovers around $40,000 level (Updates to U.S. afternoon)
NEW YORK, June 15 (Reuters) - The dollar rose to a one-month high against a … [+2608 chars]",0.0,0.0,0.0,1.0
37,2021-06-23,"* MSCI EM shares index set for best session in three weeks
* Rate hike in S.Africa possible either in Sept or Nov - analyst
June 23 (Reuters) - Emerging markets stocks jumped 1% on Wednesday after … [+2520 chars]",0.7506,0.162,0.0,0.838
38,2021-06-25,"* Technicals suggest downside selling pressure for gold- analyst
* Palladium, platinum head for best week since mid-March (Updates prices)
June 25 (Reuters) - Gold edged higher on Friday after stag… [+2045 chars]",0.25,0.119,0.119,0.763
39,2021-06-25,"* Technicals suggest downside selling pressure for gold- analyst
* Palladium, platinum head for best week since mid-March (New throughout, updates prices, market activity and comments)
June 25 (Reu… [+1928 chars]",0.25,0.122,0.122,0.756
40,2021-06-25,"* Euro zone periphery govt bond yields tmsnrt.rs/2ii2Bqr
June 25 (Reuters) - Euro zone bond yields steadied on Friday ahead of U.S. inflation data which will give the latest steer on price pressures… [+1922 chars]",0.0,0.0,0.0,1.0
41,2021-06-11,"Editor's Note: With so much market volatility, stay on top of daily news! Get caught up in minutes with our speedy summary of today's must-read news and expert opinions. Sign up here! 
(Kitco News) … [+2924 chars]",0.3365,0.064,0.0,0.936
42,2021-06-16,"Statistics Canada says the consumer price index in May was up 3.6 per cent compared with a year ago, its largest yearly increase since May 2011.
The reading for May compared with a year-over-year ga… [+1006 chars]",0.3182,0.063,0.0,0.937
43,2021-06-10,"Prices paid by U.S. consumers rose in May by more than forecast, extending a months-long buildup in inflation that risks becoming more established as the economy strengthens.
The consumer price inde… [+5102 chars]",0.2263,0.085,0.06,0.855
44,2021-06-10,"By Reuters Staff
* U.S. inflation data expected later on Thursday, seen +0.4%
m/m
 * China, Indonesia stocks outperform with 0.8% rise
June 10 (Reuters) - Asia's emerging market currencies edged… [+3298 chars]",0.0,0.0,0.0,1.0
45,2021-06-03,"A farmer harvests corn in Woodburn, Indiana, U.S., October 16, 2020. REUTERS/Bing GuanEmerging markets struggling to get hold of Covid-19 vaccines may be in for another kick in the guts: food inflati… [+1786 chars]",-0.4215,0.0,0.08,0.92
46,2021-06-09,"* Rangebound trade ahead of inflation and ECB
 * DXY at 90.090, EUR/USD holding below $1.22
 * Dollar seen vulnerable to inflation surprises on either
side
 * Graphic: World FX rates tmsnrt.rs/2R… [+4687 chars]",0.0,0.06,0.06,0.881
47,2021-06-16,"By Reuters Staff
June 16 (Reuters) - The following is a table of Polish
annual net inflation indices for May, published by the central
bank on Wednesday.
Analysts polled by Reuters had expected M… [+327 chars]",0.0,0.0,0.0,1.0
48,2021-06-14,"By Reuters Staff
BRASILIA, June 14 (Reuters) - Forecasts for Brazilian growth, inflation and interest rates in 2021 hit new highs, a survey of economists showed on Monday, with the central bank now … [+1506 chars]",0.6808,0.153,0.0,0.847
49,2021-06-18,"People walk at a crowded market amidst the spread of the coronavirus disease (COVID-19), in the old quarters of Delhi, India, April 6, 2021. REUTERS/Anushree FadnavisMUMBAI, June 18 (Reuters) - India… [+2618 chars]",0.0,0.0,0.0,1.0
50,2021-06-24,"A general view shows The Bank of England in the City of London financial district in London, Britain, November 5, 2020. REUTERS/John Sibley/File Photo/File PhotoLONDON, June 24 (Reuters) - The Bank o… [+1707 chars]",0.0,0.0,0.0,1.0
51,2021-06-28,"Federal Reserve Vice Chair for Supervision Randal Quarles addresses the Economic Club of New York in New York City, U.S., October 18, 2018. REUTERS/Brendan McDermid/File PhotoJune 28 (Reuters) - The … [+769 chars]",0.0,0.0,0.0,1.0
