,Date,Text,Compound,Positive,Negative,Neutral
0,2021-06-15,A long running privacy fight between Belgium’s data protection authority and Facebook — over the latter’s use of online trackers like pixels and social plug-ins to snoop on web users — has culminated… [+6936 chars],0.0516,0.107,0.073,0.819
1,2021-07-01,"Indias central bank has identified Big Tech’s push into financial services as a challenge for banks in the South Asian market, saying the growing presence of these firms have prompted concerns about … [+3230 chars]",0.25,0.088,0.0,0.912
2,2021-06-14,"Decision comes after company investigated by the UKs Competition and Markets Authority
Illustration: Alex Castro / The Verge
The UKs competition regulator, the Competition and Markets Authority (CM… [+2310 chars]",0.1531,0.088,0.0,0.912
3,2021-06-17,Democratic Senator Kirsten Gillibrand has revived a bill that would establish a new U.S. federal agency to shield Americans from the invasive practices of tech companies operating in their own backya… [+3094 chars],0.0,0.0,0.0,1.0
4,2021-06-25,"To get a roundup of TechCrunchs biggest and most important stories delivered to your inbox every day at 3 p.m. PDT, subscribe here.
Hello and welcome to Daily Crunch for June 25, 2021. We have a gre… [+5505 chars]",0.624,0.13,0.0,0.87
5,2021-07-01,"To get a roundup of TechCrunchs biggest and most important stories delivered to your inbox every day at 3 p.m. PDT, subscribe here.
Hello and welcome to Daily Crunch for July 1, 2021. Its Robinood I… [+7452 chars]",0.624,0.13,0.0,0.87
6,2021-06-18,"The UK’s chief data protection regulator has warned over reckless and inappropriate use of live facial recognition (LFR) in public places.
Publishing an opinion today on the use of this biometric su… [+10257 chars]",-0.5859,0.0,0.13,0.87
7,2021-06-28,"The UK’s digital businesses can breathe a sign of relief today as the European Commission has officially signed off on data adequacy for the (now) third country, post-Brexit.
It’s a big deal for UK … [+9859 chars]",0.4767,0.086,0.0,0.914
8,2021-06-21,"Lina Khan has been one of Big Tech's biggest critics and she just took the reins of the government agency empowered to enforce antitrust laws against them. 
At 32-years-old, Khan is the youngest per… [+3851 chars]",-0.296,0.0,0.059,0.941
9,2021-07-01,"Hepsiburada Turkey’s giant online shopping platform considered the Amazon of its country  floats on the Nasdaq today, for a valuation likely to exceed $3.9 billion on current projections, especially … [+7476 chars]",0.1779,0.055,0.0,0.945
10,2021-06-15,"By Reuters Staff
FILE PHOTO: A 3D printed Google logo is placed on the Apple Macbook in this illustration taken April 12, 2020. REUTERS/Dado Ruvic/Illustration
LONDON (Reuters) -Britains competitio… [+1631 chars]",0.0,0.0,0.0,1.0
11,2021-06-15,"If the purpose is to investigate if Google or Apple did anything illegal, yes investigate. If the goal is to force more competitors into a market that was created by market forces then no.
From my p… [+259 chars]",-0.2732,0.106,0.13,0.764
12,2021-06-15,"The UK’s competition watchdog will take a deep dive look into Apple and Google’s dominance of the mobile ecosystem, it said today — announcing a market study which will examine the pair’s respective … [+6565 chars]",0.5574,0.133,0.0,0.867
