Date,SPY,TSLA,F,GM
2021-07-06,432.929993,$659.58,$14.5,$57.46
2021-07-02,433.720001,$678.9,$14.93,$58.96
2021-07-01,430.429993,$677.92,$14.91,$59.11
2021-06-30,428.059998,$679.7,$14.86,$59.17
2021-06-29,427.700012,$680.76,$15.01,$58.83
2021-06-28,427.470001,$688.72,$14.96,$58.64
2021-06-25,426.609985,$671.87,$15.19,$60.3
2021-06-24,425.100006,$679.82,$15.26,$60.04
2021-06-23,422.600006,$656.57,$15.42,$60.12
2021-06-22,423.109985,$623.71,$14.91,$59.24
2021-06-21,420.859985,$620.83,$14.78,$59.3
2021-06-18,414.920013,$623.31,$14.52,$58.76
2021-06-17,421.970001,$616.6,$14.77,$60.08
2021-06-16,422.109985,$604.87,$15.02,$61.76
2021-06-15,424.480011,$599.36,$15,$60.81
2021-06-14,425.26001,$617.69,$14.87,$60.79
2021-06-11,424.309998,$609.89,$15.28,$61.49
2021-06-10,423.609985,$610.12,$15.11,$61.34
2021-06-09,421.649994,$598.78,$15.48,$62.77
2021-06-08,422.279999,$603.59,$15.63,$63.92
2021-06-07,422.190002,$605.13,$15.88,$63.23
2021-06-04,422.600006,$599.05,$15.97,$63.37
2021-06-03,418.769989,$572.84,$15.99,$63.46
2021-06-02,420.329987,$605.12,$14.91,$59.65
2021-06-01,419.670013,$623.9,$14.81,$59.65
2021-05-28,420.040009,$625.22,$14.53,$59.31
2021-05-27,419.290009,$630.85,$14.88,$59.77
2021-05-26,419.070007,$619.13,$13.9,$58.08
2021-05-25,418.23999,$604.69,$12.81,$56.76
2021-05-24,419.170013,$606.44,$13.06,$56.6
2021-05-21,414.940002,$580.88,$13.33,$56.72
2021-05-20,415.279999,$586.78,$12.49,$55.51
2021-05-19,410.859985,$563.46,$12.11,$55.53
2021-05-18,411.940002,$577.87,$12.14,$55.89
2021-05-17,415.519989,$576.83,$12.15,$56.04
2021-05-14,416.579987,$589.74,$11.84,$56
2021-05-13,410.279999,$571.69,$11.55,$54.6
2021-05-12,405.410004,$589.89,$11.33,$53.76
2021-05-11,414.209991,$617.2,$11.58,$55.73
2021-05-10,417.940002,$629.04,$11.71,$57.41
2021-05-07,422.119995,$672.37,$11.82,$58.99
2021-05-06,419.070007,$663.54,$11.74,$58.72
2021-05-05,415.75,$670.94,$11.61,$57.58
2021-05-04,415.619995,$673.6,$11.41,$55.34
2021-05-03,418.200012,$684.9,$11.63,$57.15
2021-04-30,417.299988,$709.44,$11.54,$57.22
2021-04-29,420.059998,$677,$11.26,$56.57
2021-04-28,417.399994,$694.4,$12.43,$58.55
2021-04-27,417.519989,$704.74,$12.49,$58.97
2021-04-26,417.609985,$738.2,$12.27,$58.21
2021-04-23,416.73999,$729.4,$12.22,$57.53
2021-04-22,412.269989,$719.69,$11.94,$56.66
2021-04-21,416.070007,$744.12,$11.73,$57.49
2021-04-20,412.170013,$718.99,$11.45,$55.77
2021-04-19,415.209991,$714.63,$12.11,$57.88
2021-04-16,417.26001,$739.78,$12.23,$58.71
2021-04-15,415.869995,$738.85,$12.24,$58.61
2021-04-14,411.450012,$732.23,$12.24,$58.48
2021-04-13,412.859985,$762.32,$12.2,$58.49
2021-04-12,411.640015,$701.98,$12.38,$59.66
2021-04-09,411.48999,$677.02,$12.51,$60.16
2021-04-08,408.519989,$683.8,$12.51,$60.09
2021-04-07,406.589996,$670.97,$12.73,$60.83
2021-04-06,406.119995,$691.62,$12.92,$61.94
2021-04-05,406.359985,$691.05,$12.7,$61.04
2021-04-01,400.609985,$661.75,$12.17,$57.8
2021-03-31,396.329987,$667.93,$12.25,$57.46
2021-03-30,394.730011,$635.62,$12.46,$58.51
2021-03-29,395.779999,$611.29,$12.15,$55.94
2021-03-26,395.980011,$618.71,$12.3,$56.52
2021-03-25,389.700012,$640.39,$12.32,$56.6
2021-03-24,387.519989,$630.27,$12.14,$55.81
2021-03-23,389.5,$662.16,$12.21,$56.16
2021-03-22,392.589996,$670,$12.85,$58.1
2021-03-19,389.480011,$654.87,$12.83,$59.82
2021-03-18,391.480011,$653.16,$12.49,$59.27
2021-03-17,397.26001,$701.81,$12.69,$60.05
2021-03-16,395.910004,$676.88,$12.49,$57.12
2021-03-15,396.410004,$707.94,$13.2,$57.94
2021-03-12,394.059998,$693.73,$13.37,$59.26
2021-03-11,393.529999,$699.6,$12.81,$56.33
2021-03-10,389.579987,$668.06,$12.91,$56.83
2021-03-09,387.170013,$673.58,$12.57,$54.65
2021-03-08,381.720001,$563,$12.65,$54.98
2021-03-05,383.630005,$597.95,$12.27,$53.75
2021-03-04,376.700012,$621.44,$11.93,$51.83
2021-03-03,381.420013,$653.2,$12.17,$52.67
2021-03-02,386.540009,$686.44,$12.55,$54.11
2021-03-01,389.579987,$718.43,$11.98,$52.54
2021-02-26,380.359985,$675.5,$11.7,$51.33
2021-02-25,382.329987,$682.22,$11.76,$50.6
2021-02-24,391.769989,$742.02,$12.27,$52.9
2021-02-23,387.5,$698.84,$11.62,$51.11
2021-02-22,387.029999,$714.5,$11.7,$51.98
2021-02-19,390.029999,$781.3,$11.58,$52.57
2021-02-18,390.720001,$787.38,$11.43,$52.16
2021-02-17,392.390015,$798.15,$11.48,$52.89
2021-02-16,392.299988,$796.22,$11.54,$53.46
2021-02-12,392.640015,$816.12,$11.45,$53.6
2021-02-11,390.709991,$811.66,$11.45,$60.3
2021-02-10,390.079987,$804.82,$11.76,$54.88
2021-02-09,390.25,$849.46,$11.93,$56.06
2021-02-08,390.51001,$863.42,$11.56,$56.88
2021-02-05,387.709991,$852.23,$11.51,$54.41
2021-02-04,386.190002,$849.99,$11.37,$54.13
2021-02-03,381.850006,$854.69,$11.2,$54.25
2021-02-02,381.549988,$872.79,$10.86,$52.72
2021-02-01,376.230011,$839.81,$10.83,$51.51
2021-01-29,370.070007,$793.53,$10.53,$50.68
2021-01-28,377.630005,$835.43,$10.72,$51.04
