Date,New Cases,7-Day Moving Avg,Historic Cases
07/02/21,15555,13241,391
07/01/21,17911,12914,472
06/30/21,14353,12528,810
06/29/21,14823,12504,122
06/28/21,8669,12295,44
06/27/21,8957,12213,58
06/26/21,12423,12045,0
06/25/21,13265,11969,0
06/24/21,15208,11733,0
06/23/21,14188,11472,50
06/22/21,13361,11385,0
06/21/21,8092,11318,0
06/20/21,7780,11281,0
06/19/21,11890,11388,0
06/18/21,11613,11365,0
06/17/21,13381,11757,0
06/16/21,13583,11610,0
06/15/21,12891,12743,0
06/14/21,7833,13140,0
06/13/21,8527,13540,0
06/12/21,11727,13936,0
06/11/21,14362,14573,0
06/10/21,12350,15206,1
06/09/21,21517,15975,464
06/08/21,15664,15305,0
06/07/21,10639,14288,0
06/06/21,11294,14154,0
06/05/21,16185,14265,0
06/04/21,18797,14188,0
06/03/21,17732,14435,0
06/02/21,16826,14969,0
06/01/21,8543,15941,0
05/31/21,9702,18137,1
05/30/21,12072,18869,0
05/29/21,15647,19422,0
05/28/21,20529,20502,0
05/27/21,21470,21373,0
05/26/21,23629,22273,0
05/25/21,23916,22858,0
05/24/21,14826,23611,0
05/23/21,15938,24147,0
05/22/21,23208,24905,0
05/21/21,26629,25761,0
05/20/21,27767,26785,0
05/19/21,27727,27917,0
05/18/21,29184,28956,0
05/17/21,18578,29615,406
05/16/21,21243,30472,0
05/15/21,29202,31174,42
05/14/21,33798,32248,0
05/13/21,35692,33690,0
05/12/21,34996,34780,0
05/11/21,33798,36199,0
05/10/21,24580,37578,0
05/09/21,26153,38581,0
05/08/21,36719,40196,0
05/07/21,43893,41858,0
05/06/21,43323,43350,0
05/05/21,44932,45321,0
05/04/21,43452,46714,0
05/03/21,31601,47972,0
05/02/21,37455,48983,0
05/01/21,48350,49456,0
04/30/21,54338,50365,0
04/29/21,57125,51410,0
04/28/21,54679,52139,0
04/27/21,52258,53298,0
04/26/21,38679,54472,-9005
04/25/21,40764,53751,0
04/24/21,54718,55251,0
04/23/21,61647,57951,0
04/22/21,62232,59303,0
04/21/21,62791,60939,0
04/20/21,60476,62405,0
04/19/21,33634,64614,0
04/18/21,51264,67651,0
04/17/21,73617,67910,0
04/16/21,71110,66885,0
04/15/21,73682,67956,0
04/14/21,73052,68420,0
04/13/21,75942,68867,0
04/12/21,54895,67301,0
04/11/21,53072,67271,0
04/10/21,66442,66110,0
04/09/21,78611,65607,72
04/08/21,76932,64497,0
04/07/21,76179,64032,0
04/06/21,64982,63219,0
04/05/21,54679,62912,0
04/04/21,44948,63130,0
04/03/21,62922,64188,0
04/02/21,70842,64166,0
04/01/21,73673,64883,0
03/31/21,70489,63844,0
03/30/21,62831,63386,0
03/29/21,56207,62871,0
03/28/21,52357,61544,0
03/27/21,62765,60334,0
03/26/21,75864,59533,0
03/25/21,66396,57379,0
03/24/21,67287,56774,0
03/23/21,59223,55707,0
03/22/21,46917,55084,0
03/21/21,43890,54398,0
03/20/21,57160,54168,0
03/19/21,60784,53643,0
03/18/21,62162,53685,0
03/17/21,59817,53191,0
03/16/21,54859,53014,0
03/15/21,42114,52872,0
03/14/21,42284,52727,0
03/13/21,53483,52707,0
03/12/21,61076,52973,0
03/11/21,58708,53243,0
03/10/21,58580,53998,0
03/09/21,53863,54978,891
03/08/21,41100,55457,0
03/07/21,42140,56173,0
03/06/21,55347,57471,0
03/05/21,62966,58945,0
03/04/21,63992,60112,0
03/03/21,65443,60982,0
03/02/21,57217,62021,0
03/01/21,46109,63830,0
02/28/21,51225,64960,0
02/27/21,65669,65025,0
02/26/21,71134,64929,0
02/25/21,70078,64604,0
02/24/21,72716,64228,0
02/23/21,69879,63746,0
02/22/21,54025,61797,0
02/21/21,51676,61544,0
02/20/21,64999,62937,0
02/19/21,68858,65521,0
02/18/21,67443,69330,0
02/17/21,69345,73730,0
02/16/21,56238,77943,0
02/15/21,52254,83011,0
02/14/21,61425,86739,0
02/13/21,83085,89586,0
02/12/21,95522,92719,0
02/11/21,98243,96739,0
02/10/21,98836,99865,0
02/09/21,91717,102283,0
02/08/21,78347,106368,0
02/07/21,81354,112340,0
02/06/21,105019,115099,0
02/05/21,123661,121640,0
02/04/21,120127,123932,0
02/03/21,115762,128984,0
02/02/21,120311,135421,0
02/01/21,120150,139476,0
01/31/21,100666,139637,0
01/30/21,150808,144135,0
01/29/21,139706,146087,0
01/28/21,155489,153386,0
01/27/21,160821,159012,0
01/26/21,148695,163508,0
01/25/21,121277,167448,0
01/24/21,132152,165500,0
01/23/21,164471,169835,0
01/22/21,190800,175231,0
01/21/21,194870,181499,0
01/20/21,192292,185975,0
01/19/21,176280,192264,584
01/18/21,107641,197131,0
01/17/21,162493,208659,0
01/16/21,202245,214351,0
01/15/21,234674,217809,0
01/14/21,226206,228907,0
01/13/21,236310,238331,0
01/12/21,210349,245870,0
01/11/21,188339,251226,0
01/10/21,202334,251905,0
01/09/21,226455,247995,0
01/08/21,312357,247156,0
01/07/21,292174,231724,0
01/06/21,289088,229088,0
01/05/21,247836,226789,0
01/04/21,193093,222903,0
01/03/21,174968,221811,0
01/02/21,220578,213341,0
01/01/21,204331,206021,0
12/31/20,273724,198433,0
12/30/20,272998,187243,0
12/29/20,220635,182417,0
12/28/20,185448,178714,0
12/27/20,115677,176949,0
12/26/20,169339,185370,0
12/25/20,151211,190365,0
12/24/20,195396,202959,0
12/23/20,239216,209596,0
12/22/20,194713,209137,0
12/21/20,173097,209069,0
12/20/20,174618,211373,0
12/19/20,204305,212573,0
12/18/20,239371,215032,0
12/17/20,241857,217009,0
12/16/20,235998,214492,0
12/15/20,194237,213775,0
12/14/20,189230,218474,0
12/13/20,183018,217701,0
12/12/20,221513,216808,0
12/11/20,253215,215860,0
12/10/20,224238,213562,0
12/09/20,230974,215962,0
12/08/20,227134,215147,0
12/07/20,183819,211971,0
12/06/20,176763,208190,0
12/05/20,214883,203271,0
12/04/20,237128,192374,0
12/03/20,241034,181412,0
12/02/20,225268,170473,0
12/01/20,204907,166870,0
11/30/20,157349,163413,0
11/29/20,142332,163840,0
11/28/20,138606,165222,0
11/27/20,160394,170448,0
11/26/20,164455,176113,0
11/25/20,200048,180766,0
11/24/20,180712,178252,0
11/23/20,160333,177195,0
11/22/20,152012,175677,0
11/21/20,175188,174238,0
11/20/20,200044,171943,0
11/19/20,197026,169952,0
11/18/20,182455,165673,0
11/17/20,173307,162736,0
11/16/20,149711,159976,0
11/15/20,141940,156410,0
11/14/20,159119,151805,0
11/13/20,186108,142523,0
11/12/20,167075,136184,0
11/11/20,161895,130985,0
11/10/20,153989,124728,0
11/09/20,124747,117567,0
11/08/20,109703,112614,0
11/07/20,94147,107721,0
11/06/20,141734,106914,0
11/05/20,130684,101104,0
11/04/20,118097,95602,0
11/03/20,103862,91289,0
11/02/20,90071,87850,0
11/01/20,75454,84768,67475
10/31/20,88500,82697,0
10/30/20,101062,80990,0
10/29/20,92171,77778,0
10/28/20,87904,75970,0
10/27/20,79788,73368,0
10/26/20,68503,71376,0
10/25/20,60956,69685,0
10/24/20,76552,67785,0
10/23/20,78574,64937,0
10/22/20,79513,63740,0
10/21/20,69696,61521,0
10/20/20,65839,60364,0
10/19/20,56665,58893,0
10/18/20,47661,57377,0
10/17/20,56613,57372,0
10/16/20,70193,56465,0
10/15/20,63983,54877,0
10/14/20,61597,53870,0
10/13/20,55541,53203,0
10/12/20,46056,51588,0
10/11/20,47625,50800,0
10/10/20,50266,49182,0
10/09/20,59077,48875,0
10/08/20,56934,47812,0
10/07/20,56922,46649,0
10/06/20,44241,45292,0
10/05/20,40541,45003,0
10/04/20,36296,44576,0
10/03/20,48118,44326,0
10/02/20,51638,43387,0
10/01/20,48787,43220,0
09/30/20,47427,42896,0
09/29/20,42216,42469,0
09/28/20,37555,43826,0
09/27/20,34541,44196,0
09/26/20,41549,43875,0
09/25/20,50470,43916,0
09/24/20,46515,43570,0
09/23/20,44439,43604,0
09/22/20,51713,43712,0
09/21/20,40150,41844,0
09/20/20,32290,40881,0
09/19/20,41841,40629,0
09/18/20,48046,40241,0
09/17/20,46752,39832,0
09/16/20,45192,38935,0
09/15/20,38640,38129,0
09/14/20,33410,36518,0
09/13/20,30527,35081,0
09/12/20,39121,35104,0
09/11/20,45187,35299,0
09/10/20,40472,35811,0
09/09/20,39551,36655,0
09/08/20,27362,37171,0
09/07/20,23350,39624,0
09/06/20,30685,40796,0
09/05/20,40488,41136,0
09/04/20,48770,41150,0
09/03/20,46380,40759,0
09/02/20,43164,41044,1705
09/01/20,44533,41693,0
08/31/20,31555,41049,0
08/30/20,33066,41519,0
08/29/20,40586,41600,0
08/28/20,46029,41725,0
08/27/20,48377,41786,0
08/26/20,47711,41571,0
08/25/20,40022,41479,0
08/24/20,34843,41689,0
08/23/20,33633,42127,0
08/22/20,41463,42729,0
08/21/20,46456,43356,0
08/20/20,46871,44331,0
08/19/20,47069,45179,0
08/18/20,41494,46089,0
08/17/20,37903,47339,0
08/16/20,37852,47591,0
08/15/20,45849,48371,0
08/14/20,53283,49296,0
08/13/20,52805,50008,0
08/12/20,53437,50730,0
08/11/20,50245,51250,0
08/10/20,39667,51638,0
08/09/20,43315,52427,0
08/08/20,52324,53268,0
08/07/20,58263,54004,0
08/06/20,57859,55178,0
08/05/20,57078,56387,0
08/04/20,52966,57668,0
08/03/20,45184,58492,0
08/02/20,49203,59442,0
08/01/20,57481,60243,0
07/31/20,66479,60664,0
07/30/20,66320,61577,0
07/29/20,66043,62203,0
07/28/20,58740,62813,0
07/27/20,51834,63330,0
07/26/20,54806,64623,0
07/25/20,60431,65394,0
07/24/20,72867,66354,0
