,tweets,likes,time
0,"@KevinKalk Hello, Kevin! Feel free to send us a DM with your VIN and current mileage. I’d be happy to look into this for you.",1,2021-07-02 18:28:02
1,"This #4thofJuly, salute those who serve with new Proud to Honor merchandise. All profits will go to @DAVHQ and @BlueStarFamily, two charities that help veterans, active service members and their families.",67,2021-07-02 16:00:03
2,"@Heather49357915 Good morning, Heather. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-07-02 15:41:22
3,"@beck2323 Good morning, Michael. Please send us a DM with your VIN and more information regarding this situation with your truck. I would like to look into a few things on my end for you.",0,2021-07-02 14:41:40
4,"@Shiloh55 Good morning, Rick. Feel free to send us a DM with your VIN and current mileage. I’d be happy to look into this for you.",0,2021-07-02 14:09:12
5,"@czgrodek Good morning, Chris. Feel free to send us a DM with your VIN and FordPass username. I’d be happy to look into this for you.",0,2021-07-02 14:05:51
6,"@CrystalHaddon3 Hello, Crystal. Could you send us a DM with more information about your concern with the trim falling off of your Ford Explorer, as well as your VIN and current mileage? I can assist you from there. Thank you.",0,2021-07-02 13:43:46
7,"@ScottAtGather Good morning, Scott. Please feel free to send us a direct message at your nearest convenience with the previously requested information. In order to further assist you, we will need to gather more personal details from you.",0,2021-07-02 13:41:02
8,@NYCRealtor4Life Hello. Feel free to send us a DM with your VIN and current mileage. I’d be happy to look into this for you.,1,2021-07-01 21:14:44
9,"@ecoll0323 Hello, Elizabeth. I’d like to assist you with this concern. Could you please send us a DM/PM with your VIN and mileage so I can look into this further?",0,2021-07-01 14:15:13
10,@VintageVoodoo13 Good morning. Can you send us a direct message with your VIN? I would like to look into this further for you?,0,2021-07-01 13:50:59
11,@TaraMaddock Good morning. Can you send us a direct message with your VIN? I would like to look into this delay for you.,0,2021-07-01 13:50:07
12,"@BaseballFan1986 Good afternoon, Matt. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-30 19:33:50
13,"The Ocean to Ocean Reimagined caravan continued its journey through Charlotte, Atlanta, New Orleans and more along the way. The #MustangMachE utilized features like one pedal driving and various drive modes to make the trip that much more enjoyable. https://t.co/fa59WQAs27",427,2021-06-30 19:30:37
14,"How it started ➡️ How it’s going​

The one millionth #FordTransit just rolled off the line. Up next? America’s best-selling commercial van* is going all-electric with the 2022 E-Transit. https://t.co/wCSmajIE46",545,2021-06-30 15:35:03
15,@Josephineperer3 Please send us a Private Direct Message. Can assist you further from there. Thank you.,0,2021-06-30 15:07:40
16,@Pixi_Pix Good morning. Thank you for reaching out to us today. Please send us a DM with some additional details about your order. I‘d be happy to look into this for you.,0,2021-06-30 14:20:31
17,@Josephineperer3 Hello. would you please send us a DM explaining more of your situation? I can assist you further from there.,0,2021-06-30 13:53:50
18,"@ScottAtGather removing this public post with your VIN, as it contains personal information about your vehicle. Thanks! (2/2)",0,2021-06-30 13:53:35
19,"@ScottAtGather Would you be able to send those details over as a direct message please? If you visit the Ford Motor Company Twitter here: https://t.co/YBB4AWi3Fh, then tap the envelope icon under the header, this will open a direct message window. I would also recommend (1/2)",0,2021-06-30 13:53:35
20,@Mark52725780 Hi there! Feel free to send us a message with your VIN and mileage. I'll look into this for you.,0,2021-06-30 13:16:10
21,"@ScottAtGather Good morning, Scott. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-30 13:15:08
22,"@SpencerHavens2 Hello, Spencer. Could you send us a DM with your VIN and current mileage? I can further assist you regarding the purge valve leak in your 2016 Ford Focus. Thank you.",0,2021-06-29 20:14:05
23,@Andrew_Hyte Hello Andrew! I’d like to assist you with this concern. Could you please send us a DM with your VIN and mileage so I can look into this further?,0,2021-06-29 19:31:02
24,@fluffybuttfoody Hi there. Could you send us a DM explaining more about this situation? I can assist you further from there.,1,2021-06-29 13:26:07
25,"@JeffOtt16 Hi there – send a message to us with your VIN and approximate mileage, along with some more details about your situation. I’ll look into this for you. Thanks!",1,2021-06-29 13:20:25
26,RT @NBCNightlyNews: The Ford F-150 pickup truck family is welcoming a new member. The “lightning” is the first fully electric pickup truck.…,0,2021-06-28 20:54:28
27,"@Seanl90 Hi there, Sean. Feel free to send us a DM with your VIN and current mileage. I’d be happy to look into this for you.",1,2021-06-28 20:29:14
28,"@LLRTammyW Please send us a DM with more information regarding this situation with your vehicle, including your VIN and mileage. I would like to look into a few things on my end for you.",1,2021-06-28 19:57:55
29,@SabtheWanderer 😎😎😎,0,2021-06-28 19:28:50
30,@NiccaArcher #Reserved ✅ 💪💪💪,1,2021-06-28 19:28:11
31,@tonyamhughes 💯💯💯,0,2021-06-28 19:27:42
32,"@kley_marc Would you mind sending us this information in a direct message? I would recommend removing this public post with your VIN, as it contains personal information about your vehicle. Thank you!",1,2021-06-28 19:27:33
33,"@kley_marc Good afternoon, Marc. Could you send us a DM with some additional details about your concern? I’d like to look into things on my end for you.",1,2021-06-28 19:04:38
34,"@FenwickAmanda Hi there – send a message to us with your VIN and approximate mileage, along with some more details about your situation. I’ll look into this for you. Thanks!",2,2021-06-28 17:09:30
35,"@rvdbijl Hi Robbert -- send us a DM with some more information, including your FordPass username and phone operating system. I'll check into how I can assist you further. Thank you!",0,2021-06-28 16:10:45
36,"@hotrodwolf1989 Good morning. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to investigate this situation for you.",0,2021-06-28 15:34:17
37,"@sweetsbyAlita Good morning, Alita. Feel free to send us a DM with your VIN and current mileage. I’d like to look into things on my end for you.",0,2021-06-28 15:15:20
38,"@carfiguy Hello, Brian. Could you send us a DM with more information regarding your Ford Bronco order? I can assist you from there. Thank you.",0,2021-06-28 15:07:00
39,@DerekScalese Good morning. Can you send us a direct message? I would like to provide more information regarding your reservation.,0,2021-06-28 14:05:41
40,@SeanFre08464214 Hello! please send us a DM with the VIN you were provided. I can look into things further from there.,0,2021-06-28 14:05:26
41,"@rslangol Good morning, Bob – send us a direct message with some more info, including your VIN and current mileage. I’ll see how I can assist you on my end. Thanks!",0,2021-06-28 13:46:27
42,@SimpleCove Good morning. Can you us a direct message with your VIN? I would like to take a look into your connectivity concern.,0,2021-06-28 13:43:15
43,@Infamous_Cox Could you please send us a DM with some more details regarding your Bronco reservation? We want to take a closer look. Thank you.,0,2021-06-28 13:28:59
44,"@Narendr27916107 Hi, there! If you have any questions or concerns regarding your EcoSport, I do recommend that you reach out to our friends @FordIndia. They will be in the best position to assist further.",0,2021-06-28 12:55:53
45,@Vinniethedog2 Keep us updated when you get yours Vinnie. We would love to see what you go for.,1,2021-06-27 16:37:53
46,@Vinniethedog2 A few weeks? Will you be strong enough to give it up later?,1,2021-06-27 13:50:58
47,"@K5E1V4 Oh, that's so exciting. What won you over?",1,2021-06-27 13:13:02
48,@AnjunaWordUp That's awesome! Post a pic when you get it. We love seeing our drivers with their Fords.,2,2021-06-26 19:31:25
49,"@mbowers0845 That's excellent news, Matthew! What color and configuration did you go for?",0,2021-06-26 19:22:06
50,@_tothesweet We love seeing what out Mustang drivers are up to V.! We hope you and the baby had a fabulous day out.,1,2021-06-26 16:55:40
51,"@MOPamcakes Hello, Pam. Could you send us a DM with more information about your concern with the engine on your 2020 Ford F-350, as well as your VIN? I can assist you from there. Thank you!",0,2021-06-26 15:59:46
52,"@jashen76 Hello, Jason. Could you send us a DM with more information about your Bronco order? I can assist you from there. Thank you!",0,2021-06-26 15:50:39
53,@linzbnz Hello. I have received your direct message and I will continue assisting you there in a moment. I would also encourage you to delete this post as it contains personally identifiable information.,0,2021-06-26 15:08:29
54,"@masonmoesch Hi there, Mason. Please send us a DM with more information regarding this situation with your dealership. I would like to look into a few things on my end for you.",0,2021-06-25 18:38:55
55,@thejuliaF Hello! I’d like to assist you with this concern. Could you please send us a DM with your VIN and mileage so I can look into this further?,0,2021-06-25 16:14:33
56,@sahil28882339 Hello. Would you mind sending us a DM explaining more about your experience? I can assist you further from there.,0,2021-06-25 15:37:29
57,"@BellaAlati Hello! Please don't hesitate to send us a DM with more details, including your VIN and any concerns about your vehicle.",1,2021-06-25 14:28:47
58,@__EvatheDiva__ Hi there. Could you please send us a DM with some more information regarding this situation with your Escape? I would like to look into a few things on my end for you.,0,2021-06-24 20:19:27
59,@AndrewH05754378 @mrlevine Hi Andrew. Could you please send us a DM with some more information regarding your reservation? I would like to look into a few things on my end for you.,17,2021-06-24 14:43:00
60,@veegtables Good morning – I’d like to assist you with this concern. Could you send us a DM with some additional details so I can look into this further?,13,2021-06-24 14:42:17
61,"@drkoalz Good morning, Saqib. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to investigate this situation for you.",0,2021-06-24 13:36:39
62,@Ebonytw79 Good morning. Thank you for reaching out to us about this delay. Can you send us a direct message with your VIN so I can look into this further?,0,2021-06-24 13:22:43
63,"@aer0zer0 Good morning, John. Could you send us a DM with some more details about your concern? I’d like to look into things on my end for you.",0,2021-06-24 13:10:34
64,@vasu8055 Good evening! Please send us a DM with more information regarding this situation with your new Bronco. I would like to look into a few things on my end for you.,0,2021-06-23 22:04:53
65,@tlcranejr Hello! Feel free to send us a DM with your VIN and we'd be happy to assist you.,1,2021-06-23 20:02:05
66,"@scburdet Hi there – send us a DM with some more information, including your VIN and FordPass username. I’d like to see how I can assist. Thanks!",1,2021-06-23 19:09:51
