Date,TSLA,F,GM,SPX
07/02/2021,$678.9,$14.93,$58.96,4352.34
07/01/2021,$677.92,$14.91,$59.11,4319.94
06/30/2021,$679.7,$14.86,$59.17,4297.5
06/29/2021,$680.76,$15.01,$58.83,4291.8
06/28/2021,$688.72,$14.96,$58.64,4290.61
06/25/2021,$671.87,$15.19,$60.3,4280.7
06/24/2021,$679.82,$15.26,$60.04,4266.49
06/23/2021,$656.57,$15.42,$60.12,4241.84
06/22/2021,$623.71,$14.91,$59.24,4246.44
06/21/2021,$620.83,$14.78,$59.3,4224.79
06/18/2021,$623.31,$14.52,$58.76,4166.45
06/17/2021,$616.6,$14.77,$60.08,4166.45
06/16/2021,$604.87,$15.02,$61.76,4221.86
06/15/2021,$599.36,$15,$60.81,4223.7
06/14/2021,$617.69,$14.87,$60.79,4246.59
06/11/2021,$609.89,$15.28,$61.49,4255.15
06/10/2021,$610.12,$15.11,$61.34,4247.44
06/09/2021,$598.78,$15.48,$62.77,4239.18
06/08/2021,$603.59,$15.63,$63.92,4219.55
06/07/2021,$605.13,$15.88,$63.23,4227.26
06/04/2021,$599.05,$15.97,$63.37,4226.52
06/03/2021,$572.84,$15.99,$63.46,4229.89
06/02/2021,$605.12,$14.91,$59.65,4192.85
06/01/2021,$623.9,$14.81,$59.65,4208.12
05/28/2021,$625.22,$14.53,$59.31,4202.04
05/27/2021,$630.85,$14.88,$59.77,4204.11
05/26/2021,$619.13,$13.9,$58.08,4200.88
05/25/2021,$604.69,$12.81,$56.76,4195.99
05/24/2021,$606.44,$13.06,$56.6,4188.13
05/21/2021,$580.88,$13.33,$56.72,4197.05
05/20/2021,$586.78,$12.49,$55.51,4155.86
05/19/2021,$563.46,$12.11,$55.53,4159.12
05/18/2021,$577.87,$12.14,$55.89,4115.68
05/17/2021,$576.83,$12.15,$56.04,4127.83
05/14/2021,$589.74,$11.84,$56,4163.29
05/13/2021,$571.69,$11.55,$54.6,4173.85
05/12/2021,$589.89,$11.33,$53.76,4112.5
05/11/2021,$617.2,$11.58,$55.73,4063.04
05/10/2021,$629.04,$11.71,$57.41,4152.1
05/07/2021,$672.37,$11.82,$58.99,4188.43
05/06/2021,$663.54,$11.74,$58.72,4232.6
05/05/2021,$670.94,$11.61,$57.58,4201.62
05/04/2021,$673.6,$11.41,$55.34,4167.59
05/03/2021,$684.9,$11.63,$57.15,4164.66
04/30/2021,$709.44,$11.54,$57.22,4192.66
04/29/2021,$677,$11.26,$56.57,4181.17
04/28/2021,$694.4,$12.43,$58.55,4211.47
04/27/2021,$704.74,$12.49,$58.97,4183.18
04/26/2021,$738.2,$12.27,$58.21,4186.72
04/23/2021,$729.4,$12.22,$57.53,4187.62
04/22/2021,$719.69,$11.94,$56.66,4180.17
04/21/2021,$744.12,$11.73,$57.49,4134.98
04/20/2021,$718.99,$11.45,$55.77,4173.42
04/19/2021,$714.63,$12.11,$57.88,4134.94
04/16/2021,$739.78,$12.23,$58.71,4163.26
04/15/2021,$738.85,$12.24,$58.61,4185.47
04/14/2021,$732.23,$12.24,$58.48,4170.42
04/13/2021,$762.32,$12.2,$58.49,4124.66
04/12/2021,$701.98,$12.38,$59.66,4141.59
04/09/2021,$677.02,$12.51,$60.16,4127.99
04/08/2021,$683.8,$12.51,$60.09,4128.8
04/07/2021,$670.97,$12.73,$60.83,4097.17
04/06/2021,$691.62,$12.92,$61.94,4079.95
04/05/2021,$691.05,$12.7,$61.04,4073.94
04/01/2021,$661.75,$12.17,$57.8,4077.91
03/31/2021,$667.93,$12.25,$57.46,4019.87
03/30/2021,$635.62,$12.46,$58.51,3972.89
03/29/2021,$611.29,$12.15,$55.94,3958.55
03/26/2021,$618.71,$12.3,$56.52,3971.09
03/25/2021,$640.39,$12.32,$56.6,3974.54
03/24/2021,$630.27,$12.14,$55.81,3909.52
03/23/2021,$662.16,$12.21,$56.16,3889.14
03/22/2021,$670,$12.85,$58.1,3910.52
03/19/2021,$654.87,$12.83,$59.82,3940.59
03/18/2021,$653.16,$12.49,$59.27,3913.1
03/17/2021,$701.81,$12.69,$60.05,3915.46
03/16/2021,$676.88,$12.49,$57.12,3974.12
03/15/2021,$707.94,$13.2,$57.94,3962.71
03/12/2021,$693.73,$13.37,$59.26,3968.94
03/11/2021,$699.6,$12.81,$56.33,3943.34
03/10/2021,$668.06,$12.91,$56.83,3939.34
03/09/2021,$673.58,$12.57,$54.65,3898.81
03/08/2021,$563,$12.65,$54.98,3875.44
03/05/2021,$597.95,$12.27,$53.75,3821.35
03/04/2021,$621.44,$11.93,$51.83,3841.94
03/03/2021,$653.2,$12.17,$52.67,3768.47
03/02/2021,$686.44,$12.55,$54.11,3819.72
03/01/2021,$718.43,$11.98,$52.54,3870.29
02/26/2021,$675.5,$11.7,$51.33,3901.82
02/25/2021,$682.22,$11.76,$50.6,3811.15
02/24/2021,$742.02,$12.27,$52.9,3829.34
02/23/2021,$698.84,$11.62,$51.11,3925.43
02/22/2021,$714.5,$11.7,$51.98,3881.37
02/19/2021,$781.3,$11.58,$52.57,3876.5
02/18/2021,$787.38,$11.43,$52.16,3906.71
02/17/2021,$798.15,$11.48,$52.89,3913.97
02/16/2021,$796.22,$11.54,$53.46,3931.33
02/12/2021,$816.12,$11.45,$53.6,3932.59
02/11/2021,$811.66,$11.45,$60.3,3934.83
02/10/2021,$804.82,$11.76,$54.88,3916.38
02/09/2021,$849.46,$11.93,$56.06,3909.88
02/08/2021,$863.42,$11.56,$56.88,3911.23
02/05/2021,$852.23,$11.51,$54.41,3915.59
02/04/2021,$849.99,$11.37,$54.13,3886.83
02/03/2021,$854.69,$11.2,$54.25,3871.74
02/02/2021,$872.79,$10.86,$52.72,3830.17
02/01/2021,$839.81,$10.83,$51.51,3826.31
01/29/2021,$793.53,$10.53,$50.68,3773.86
01/28/2021,$835.43,$10.72,$51.04,3714.24
01/27/2021,$864.16,$10.79,$49.34,3787.38
01/26/2021,$883.09,$11.19,$52.04,3750.77
01/25/2021,$880.8,$11.29,$53.39,3849.62
01/22/2021,$846.64,$11.52,$55.4,3855.36
