,tweets,likes,time
0,"Production &amp; deliveries in Q2 surpassed 200,000 vehicles https://t.co/xyLOa0JHX7",8031,2021-07-02 13:37:58
1,"RT @elonmusk: @marcodzo @Tesla Sometimes people think it is performance, but safety is always the primary design requirement for a Tesla",0,2021-06-25 22:22:22
2,"RT @elonmusk: @Tesla Peak acceleration is over 1.2 g’s, which is 20% faster than falling",0,2021-06-18 22:46:55
3,Experiencing Plaid https://t.co/nipaxKbkjY,53179,2021-06-18 18:24:18
4,https://t.co/v9mFAeSY1v,13871,2021-06-16 17:11:21
5,https://t.co/k1h6oQsE47,31287,2021-06-15 09:25:23
6,Playing Cyberpunk in Model S Plaid https://t.co/y9Ev4F6EaU,54467,2021-06-13 21:45:30
7,RT @woodhaus2: Gone Plaid! #ModelSPlaid https://t.co/HOt8QxEFzB,0,2021-06-12 04:23:28
8,RT @DMC_Ryan: Model S Plaid launch arguably felt even more intense from the backseat when I got a second test ride. I just laughed; I could…,0,2021-06-11 22:24:33
9,RT @Erdayastronaut: I just went 0-60 MPH in about 2 seconds and 0-100 MPH in about 4 seconds with 4 people in the car 🤯 @Tesla just broke t…,0,2021-06-11 22:24:30
10,RT @elonmusk: Plaid release event https://t.co/TxIHXnuw9A,0,2021-06-11 06:41:48
11,"RT @elonmusk: Most amount of fun on 4 wheels!
Pure joy on tap whenever u want.",0,2021-06-11 05:20:03
12,RT @elonmusk: Order Tesla Model S Plaid at https://t.co/LuUhICqQEI,0,2021-06-11 05:20:00
13,Presentation starts at 8:15pm Pacific https://t.co/tGZJUMralo https://t.co/xw1s6ATqus,5239,2021-06-10 22:00:18
14,RT @Orangetilt: Little guy has a new favourite game &amp; fun area. Truly amazing what this car offers! https://t.co/PRxS13HOW0,0,2021-06-08 10:51:41
15,"Model S Plaid delivery event at our Fremont factory will be streamed live on June 10, 7pm Pacific https://t.co/V7c77ySFti",62957,2021-06-07 19:58:42
16,"RT @jaminwestby: My car makes family road trips fun for families. 
@tesla #model3 #flex #roadtrip https://t.co/ieVxC9qx9j",0,2021-06-07 19:57:07
17,RT @elonmusk: Model S goes to Plaid speed this week,0,2021-06-06 20:49:36
18,Just surpassed 200k Powerwall installs globally 🔋🏡☀️ https://t.co/SX0LNLGmGG,40307,2021-05-26 20:30:57
19,"If you want to help cover Giga Berlin in awesome graffiti art, send us your work at GigaBerlinArt@Tesla.com",48659,2021-05-26 18:53:46
20,RT @GreenMtnPower: GMP’s pioneering network of Tesla Powerwall batteries in customers’ homes delivers groundbreaking first-in-New-England b…,0,2021-05-17 16:09:02
21,Configurator now live in Hungary 🇭🇺 &amp; Romania 🇷🇴,82269,2021-05-14 16:25:44
22,Cybertruck in NYC https://t.co/Q7JnSo1QoX,79088,2021-05-08 16:52:57
23,"RT @ericrihlmann: Tesla Cybertruck in Times Square.

#cybertruck https://t.co/65BIn9WNsY",0,2021-05-08 16:37:49
24,RT @elonmusk: Cybertruck prototype in New York this weekend,0,2021-05-08 09:24:28
25,RT @TeslaCharging: 25k Superchargers around the world  — and counting https://t.co/UzyFergQJ3,0,2021-05-07 20:34:14
26,Your Tesla will continue to improve long after you bought it https://t.co/wepMWlVFeN,15019,2021-04-28 14:30:43
27,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility,0,2021-04-22 10:26:46
28,RT @elonmusk: Tesla with Autopilot engaged now approaching 10 times lower chance of accident than average vehicle,0,2021-04-17 22:52:13
29,Cybertruck at Giga Texas https://t.co/c1RuektPnN,191480,2021-04-16 05:56:47
30,Tesla seats factory https://t.co/X4PLPjuuj4,90785,2021-04-05 23:11:12
31,Model 3 deliveries in Europe https://t.co/fiBNp2a6pG,31023,2021-04-01 13:45:40
32,"6,000+ Superchargers across Europe — at 600 locations and counting!

📸 by @EPavlic, @MinimalDuck &amp; @_better_e https://t.co/Yf36HRO9MC",56852,2021-03-25 16:12:35
33,RT @Fogdo: Thank you @Tesla for this helpful and cool feature :-) https://t.co/FLuY3yFdSL,0,2021-03-23 22:02:46
34,"Backseat views from Model Y

📸 by loghi007 on Instagram https://t.co/4ss4Hns7fn",48525,2021-03-16 18:04:04
35,Semi on the track https://t.co/0QCTYGbLJv,79488,2021-03-14 15:47:19
36,"Game on 🎮

📸 by @FromWhereICHG https://t.co/wa4m9gjDMh",22100,2021-03-08 00:10:17
37,"Use Tesla phone app to melt snow &amp; ice off your car before even leaving the house

📸 by @cookie_esq https://t.co/P3r8JUOvpv",107382,2021-03-01 18:02:10
38,Model 3 earns Top Safety+ award from IIHS for third year in a row https://t.co/rr0QtV20al,38542,2021-02-27 04:47:10
39,"RT @elonmusk: @AustinTeslaClub The Tesla Solar Roof is slightly hydrophobic, so water, snow or ice slide off easily",0,2021-02-22 20:23:49
40,Solar Roof even clears off the snow,63781,2021-02-21 21:03:24
41,Plaid winter testing https://t.co/Zau1dWZD2U,27958,2021-02-19 20:21:28
