,tweets,likes,time
0,"Many vulnerable communities are facing barriers to getting vaccinated against COVID-19.  

That’s why we’re working closely with nonprofits to bring resources like mobile vaccination clinics to communities around the US.

Find out more → https://t.co/H7RqpHDFTp https://t.co/rnRqGuYgsB",77,2021-06-30 16:55:37
1,"Today we’re launching Bulletin, a new platform that empowers independent writers, experts, and journalists to share their voices. Start reading someone new, today
https://t.co/Ya0hW9fC4e https://t.co/U2pfpkXkrs",150,2021-06-29 20:41:46
2,"@SusmitaMisra8 Hi Susmita. You can first try updating to the latest version of the app. If you're still experiencing this when you try to share a post to your story, learn how to report it here: https://t.co/rAFjFP5M8Y. -KD",0,2021-06-29 14:59:25
3,"@JaynarayanMah15 Hi Jay. If you're having trouble logging into your Facebook account, here are some steps you can try: https://t.co/ZeIulKi7TD. -KD",0,2021-06-29 14:52:17
4,"“One of the greatest goods I hope we can contribute to is real world communities coming together through the internet that otherwise wouldn’t have.” - Chris Cox

#AspenIdeas",28,2021-06-28 18:34:38
5,"“We’re also very focused on the fundamental good that [AR/VR] can bring... The potential for education is immense. We're already seeing a bunch of medical applications - psychiatrists who are trying to find ways of treating trauma."" - Chris Cox 

#AspenIdeas",32,2021-06-28 18:30:57
6,"“If you look at the vast majority of interactions on the platform, they're fundamentally good. We believe in that fundamental good as being the good that propels our mission forward as a company. We also believe in the great responsibility that comes with it.” - Chris Cox",13,2021-06-28 18:23:24
7,"“The ethos of the platform - and of democracies - is that people should have a voice and we have to protect that. And especially given how big our platform is we do need to pay attention to protecting that.” - Chris Cox 

#AspenIdeas",20,2021-06-28 18:09:57
8,"Chief Product Officer Chris Cox is sitting down with @TheAtlantic CEO Nicholas Thompson (@nxthompson) to discuss Facebook’s role in the future of free speech, creators, virtual reality and more. ✨

Watch the @aspenideas conversation here - https://t.co/0JMmlM21im 

#AspenIdeas https://t.co/lz1eZdYuTR",108,2021-06-28 17:55:44
9,"@RDXxVicky1 Hi there. If your account has been disabled, you can learn about the next steps to take here: https://t.co/9I5m4gEi5t. -KD",1,2021-06-28 14:58:22
10,"""It's such a healing process for me every day. I love the work that we're able to do in the community and the relationships we're able to build. It's worth it for that, it's all worth it for that."" Brittany D., founder of Beautiful Fight Woodworking https://t.co/MbkwW8sglr",68,2021-06-26 23:00:01
11,@nezar631 Hi Brandon. You can learn how to report an impersonation account in our Help Center: https://t.co/sHUx2oaxQU. -KD,0,2021-06-25 16:08:35
12,"@ChinkyChoo Hi Andrea. If you think your account has been hacked, learn about the next steps to take here: https://t.co/MLhGANiXsm. -KD",0,2021-06-25 16:05:20
13,@RiyanSabbir4 Hi Riyan. You can visit this page to secure your account: https://t.co/Xn9mCxzAZJ. -KD,0,2021-06-25 16:04:21
14,@haroon_sergio Hi Sergio. You can fill out this form to request a review of your disabled account: https://t.co/AvrMnu9un2. -KD,1,2021-06-25 16:03:44
15,"@SmartSindy Hi Sindy. If you think your account has been hacked, please visit this page to secure it: https://t.co/Xn9mCxzAZJ. -KD",0,2021-06-25 16:00:55
16,"@VloggerVatsal Hi Vatsal. If your account has been disabled, you can learn about the next steps to take here: https://t.co/9I5m4gEi5t. -KD",0,2021-06-25 15:58:00
17,"Sometimes all it takes is one person to make you feel seen, heard and supported. This #Pride, we're recognizing allies who support the LGBTQ+ community, educate others and inspire people to embrace their true selves. https://t.co/1vrhE88YGx",86,2021-06-24 19:17:45
18,"@iamkamalz Hi there. If you're having trouble logging into your Facebook account, here are some next steps you can try: https://t.co/ZeIulKzILb. -KD",2,2021-06-24 16:02:12
19,@Mohin05684954 Hi Mohin. You can fill out this form to request a review of your disabled account: https://t.co/AvrMnu9un2. -KD,0,2021-06-24 15:54:15
20,"RT @schrep: There aren’t many things in life that have gotten 25 times better since 2016, but that’s what Facebook’s carbon footprint has d…",0,2021-06-22 18:28:43
21,RT @WhatsApp: We are honored to announce the @CDCgov new WhatsApp chat for COVID-19 vaccines. The chat helps the Spanish-speaking community…,0,2021-06-21 23:10:20
22,https://t.co/c4zLOa1YvG,29,2021-06-21 22:06:58
23,https://t.co/UdrMOGizSQ,35,2021-06-21 22:06:58
24,"Flip that camera around and pick an effect, it's #NationalSelfieDay 🤳🤩 https://t.co/bVEfRWEUyD",75,2021-06-21 22:06:57
25,"RT @facebookapp: Starting today, we’re rolling out Live Audio Rooms and podcasts on Facebook. Read all about it here: https://t.co/U8CogK8f…",0,2021-06-21 17:03:44
