,tweets,likes,time
0,"@StephFernasty We're certainly sorry to hear this news, Stephanie. If you'd like to further discuss this situation, please send us a DM when you get a chance. ^KL",0,2021-07-01 20:42:22
1,"RT @POTUS: Folks, I’m a car guy – and I firmly believe the future is electric. Gina McCarthy and Secretary Granholm hit the road to talk ab…",0,2021-07-01 18:32:49
2,"Finally, Bilingual Sr. Analyst Jeremiah Romero says, in addition to letting him make more meaningful connections with others, being able to bring his full self to work has also made him more productive. https://t.co/hWQDtCL2cy",10,2021-06-30 22:10:33
3,GMPlus Co-Vice President and Infotainment Program Manager Steven Del Gaizo says being out has improved his relationships with his colleagues by enabling him to truly be himself. https://t.co/T3aIPq0m7n,10,2021-06-30 22:10:31
4,Software Test Engineer Branden Basche says the best thing about coming out at work is actually how little it changed anything. https://t.co/fmiKNNeuy3,4,2021-06-30 22:10:29
5,"Coming out hasn't been as straightforward for CAE Engineer Jamie Hamilton, who identifies as pan and ace, but she's finding her own ways to be #OutAndProud in the workplace. https://t.co/GVeRnwJJUR",2,2021-06-30 22:10:28
6,"After joining our team, Chief Experience Officer Daniel Chesnut came out in a big way. He says one of the best things about coming out at work has been the responses he's received from from others across the company. https://t.co/WAx0a6WTYh",2,2021-06-30 22:10:26
7,"GPG TRACK Engineer Sam Ayala says being out at work ""has taken a huge weight off [his] shoulders."" https://t.co/46YkneuEjE",3,2021-06-30 22:10:24
8,"As #PrideMonth comes to a close, members of GMPlus, our LGTBQ+ employee resource group, are joining us to share their experience with being #OutAndProud in the workplace. #GMVoice https://t.co/O9YTbn7QK2",2,2021-06-30 22:10:22
9,"#DYK: We celebrate #Pride in June to commemorate the 1969 Stonewall Uprising, a series of protests held in response to a police raid on a gay bar in Greenwich Village, which helped spearhead the gay rights movement in the US.",20,2021-06-30 22:10:20
10,"@han_mitchell4 We're sorry to see your frustrations regarding this matter, Hannah. If you'd like to further discuss this situation, feel free to send us a DM with more details at your earliest convenience. ^KL",0,2021-06-30 13:10:46
11,"@StephFernasty We regret to hear sentiments like these. If you'd like to further discuss this situation, feel free to send us a DM at your earliest convenience. ^KL https://t.co/qrfOZxOnC6",1,2021-06-30 13:07:39
12,"@GreyHDC Hello. We regret to hear of the difficulties you've experienced. If you would like to discuss this in further detail, send us a DM with additional insight. Our team will keep an eye out for your follow-up.

^TT https://t.co/qrfOZxOnC6",0,2021-06-30 12:41:50
13,"We're working to ensure the all-electric future will be an inclusive one. That’s why we’re going beyond batteries by prioritizing equitable climate action for our workforce, customers, and vulnerable communities impacted by climate change. 

Learn more:
https://t.co/R5raJ9ysRG https://t.co/T2HQBa33lP",42,2021-06-29 19:44:59
14,"@paul_campagna We recognize your dissatisfaction and would gladly look into this further, Paul. Should you wish to discuss your experience so we may better understand, we are just a message away. 

^TT https://t.co/qrfOZxOnC6",0,2021-06-29 18:52:47
15,"Our Chair &amp; CEO @mtbarra will be speaking today at @aspenideas festival with @ChenaultKen to share her vision for the future of all things electric in the age of climate change. 

Tune in at 2:30 EDT here: https://t.co/HizEh7bmcd https://t.co/ZZmiKtx7JM",46,2021-06-29 15:57:45
16,"@paul_campagna GM's top priority is the safety of our customer's and we regret to learn of the difficulties you've encountered, Paul. If you would like to discuss your experience further, please send us a DM with additional insight so we may better understand. 

^TT https://t.co/qrfOZy5Z0G",0,2021-06-29 14:22:50
17,"@JZuniga956 Hi, Joe. We regret to hear of your frustrations. When you have a moment, please feel free to DM us with additional information so we can best assist. ^RA https://t.co/qrfOZxOnC6",0,2021-06-27 17:07:25
18,"@rodpat1978 We recognize your dissatisfaction and regret to hear of the difficulties you've encountered, Patrick. If you would like to discuss your experience further, send us a DM with additional insight so we may better understand how to assist.

^TT https://t.co/qrfOZxOnC6",0,2021-06-26 21:12:58
19,"@mprogers We regret to hear of the difficulties you've encountered during your purchasing experience, Michael. If you would like to further discuss this, please send us a DM with additional insight so we may better understand. Our team will keep an eye out for your message.

^TT https://t.co/qrfOZxOnC6",0,2021-06-26 14:35:08
20,"@laaureen We regret to hear you're experiencing navigation concerns, Lauren. If you would like to further discuss this, please send us a DM with additional insight into what you've encountered so we may better understand how to help. We look forward to your follow-up.

^TT https://t.co/qrfOZxOnC6",0,2021-06-24 20:13:20
21,"@CodyKingPalmer1 Hi, Cody. Please feel free to visit https://t.co/SzoZJJjKRz for additional information of our available job openings. ^RA",0,2021-06-24 12:25:52
22,"@CristyNewton1 Thank you for bringing this to our attention, Cristy. We are certainly sorry to hear about your side mirrors and sliding glass window. Please send us a Direct Message with more details regarding your concerns so we can assist you further. ^EM https://t.co/qrfOZxOnC6",0,2021-06-24 02:01:34
23,"Engineers often need to get creative to bring the design team's vision to life. Infotainment Program Manager Joanne Leddy took @CBSUnstoppable  behind-the-scenes to see the innovative problem solving that went into engineering the 2021 @Cadillac Escalade's sleek, rounded display. https://t.co/FycLJ5paDJ",44,2021-06-23 18:00:20
24,@TwitterMktg @guyschueller Thanks for the shout-out. We're proud to be a part of the EVolution. #EVerybodyIn,9,2021-06-23 16:49:42
25,Happy International Women In Engineering day! We're proud to be able to work with organizations like the @girlscouts to help introduce young girls to STEM and inspire the next generation of women #engineers. #IWED21 https://t.co/iezDSqazS9,52,2021-06-23 16:25:11
26,"@donnasp Hello, Donna. We've responded to your recent DM. When you have a moment, please review our message there so we may continue to assist.

^TT https://t.co/qrfOZxOnC6",0,2021-06-23 15:28:32
27,"@Taylorhelton Please send us a DM at your earliest convenience, Taylor, so that our team has the chance to learn more about your current A/C concerns and assist as best we can. ^TM https://t.co/qrfOZxOnC6",0,2021-06-23 12:34:54
28,"@clickbaitkinggg Hello. Thank you for reaching out to us. We have replied to your DM. 

^DG https://t.co/qrfOZxOnC6",0,2021-06-22 19:35:45
29,"@marcywriter Our apologies, Marcy. We will keep an eye out for your follow-up.

^TT",0,2021-06-22 15:51:26
