,tweets,likes,time
0,"What are the key topics for investors in EMEA as the global economy begins to recover? Kene Ejikeme, head of multi-asset platform sales in EMEA, explains in this episode of The Daily Check-In: https://t.co/SH762ANNrJ https://t.co/bCcnddU8T3",11,2021-07-02 14:00:31
1,How are biotech companies thinking about the shift from pandemic to endemic? $GS' Chris Shibutani explains on The Daily Check-In: https://t.co/5lrGxXHqKe https://t.co/JzxHMs17QJ,17,2021-07-01 21:30:18
2,We’re proud of the diverse stories and backgrounds of our people–and remain committed to moving the conversation forward. Read more about the LGBTQ+ community at $GS and how we celebrated them this #PrideMonth. https://t.co/EmwlHCsxpG,9,2021-07-01 19:01:23
3,Pulitzer Prize-winning historian Alan Taylor on the significance of the 13 colonies unifying in order to form a legitimate threat against the British on a #TalksAtGS: https://t.co/zmwOM3ldqE https://t.co/JYjxiYnpwY,7,2021-07-01 17:00:17
4,"$GS' Asahi Pompey spoke to @Forbes about philanthropy, mentorship, and building a successful career on a changing Wall Street. https://t.co/k7kCezy9R2",15,2021-07-01 16:00:00
5,"RT @nytimesevents: How do we build our homes and cities for a sustainable future?

July 1, 1:30 p.m. E.T. / 6:30 p.m. B.S.T.

Find out from…",0,2021-07-01 15:30:00
6,$GS' Chris Shibutani on how biotech companies are preparing for the transition from pandemic to endemic on this episode of The Daily Check-In: https://t.co/x9oXWN5HrK https://t.co/JQW7tFk0of,12,2021-07-01 15:01:23
7,"$GS Research’s Toshiya Hari, Kota Yuzawa, and Rod Hall explain how the semiconductor shortage is creating supply-and-demand imbalances across sectors in an Exchanges at Goldman Sachs: https://t.co/nIFmtwM9Tf https://t.co/gK3dQ9Hl9i",7,2021-07-01 13:00:11
8,RT @GS10KSmallBiz: #10KSBgrad Michelle started @BmoreBagels to connect with people. She and her partner feel they stand on the sacrifices o…,0,2021-06-30 18:02:59
9,"“When people think of slavery—they know slavery's there in Texas, but they don't see it as shaping the state in any way—but it did and it and continues to do so.” @agordonreed in a recent episode of #TalksAtGS: https://t.co/jTPLtgSLra https://t.co/D7THKtYJSi",9,2021-06-30 17:00:19
10,#ICYMI: $GS' Clif Marriott discusses the implications of European tech companies staying private longer: https://t.co/go4kF0hF1R https://t.co/VJdzstB2Zb,2,2021-06-30 15:00:29
11,"Actor, director, and producer @danieldaekim on why he decided to testify to congress in wake of the hate incidents directed at the AAPI community in a #TalksAtGS: https://t.co/hRt1Mnng2k https://t.co/BrSGh3UDIa",9,2021-06-30 13:00:26
12,$GS' Clif Marriott discusses the increase in unicorns and ‘soonicorns’ in the European tech sector and what this means for strategic activity on this episode of The Daily Check-In: https://t.co/0jyvODg3T5 https://t.co/DkMjfAOn92,12,2021-06-29 22:00:30
13,"Watch David Kostin, $GS chief US equity strategist, share his outlook for US markets on @yahoofinance. https://t.co/UoS7jAIb8w",8,2021-06-29 21:00:00
14,"RT @GS10KSmallBiz: George, #10KSBgrad and restaurateur, feels lucky to be in a neighborhood that welcomes LGBTQIA+ business owners. With co…",0,2021-06-29 20:14:53
15,https://t.co/bGiz4GIi2z,6,2021-06-29 19:06:17
16,https://t.co/4Lc0z4qerQ,4,2021-06-29 19:06:17
17,https://t.co/xp8Tiboz0r,2,2021-06-29 19:06:16
18,"In honor of #PrideMonth, the Dallas LGBTQ+ Network hosted a discussion with leaders from local nonprofits to share ways to give back to the North Texas community. Learn more about the organizations. 👇 https://t.co/a01uoyuK4g",13,2021-06-29 19:06:16
19,"How long is the semiconductor shortage likely to last? $GS Research’s Toshiya Hari, Kota Yuzawa, and Rod Hall explore the path to recovery in this episode of Exchanges at Goldman Sachs: https://t.co/vy7ncLwkcx https://t.co/Nu1TKJpfjw",8,2021-06-29 18:00:08
20,“It just got to the point that I said someone needs to do something. If no one else was doing it then maybe I'm that crazy one to start.” - Founder and CEO of @GreenMondayHK David Yeung in a #TalksAtGS: https://t.co/8IUXbpynRa https://t.co/SphVdJniPS,6,2021-06-29 16:00:19
21,"“Data is now our most valued resource across not just IT, but practically any industry.” - CEO of @JuniperNetworks, @ramirahim, in a recent episode of #TalksAtGS: https://t.co/mZYI8s04Qt https://t.co/MFWWj98aMS",15,2021-06-28 15:00:21
22,".@USATODAY Washington bureau chief and biographer, @SusanPage, discusses @SpeakerPelosi’s upbringing and the powerful influence her family had on the city of Baltimore in a #TalksAtGS: https://t.co/j7MHPglGrk https://t.co/eGR7WGE8Vp",20,2021-06-27 15:00:29
23,"“The internet is—the greatest vehicle for innovation and human advancement the world's ever seen.” - CEO of @JuniperNetworks, @ramirahim, in a recent episode of #TalksAtGS: https://t.co/Xb18AOj9Cv https://t.co/Kp70VP0IXw",25,2021-06-26 17:00:16
24,#ICYMI: $GS' Jessica Katz describes the investment opportunities in companies that are accelerating the transition to clean energy: https://t.co/i3LubF3M57 https://t.co/ZbU8o7hBOI,10,2021-06-26 14:00:27
25,Founder and CEO of @GreenMondayHK David Yeung discusses the behavioral changes needed to empower consumers to make sustainable food choices in a recent episode of #TalksAtGS: https://t.co/eUTQpnLGGk https://t.co/8LKKK8s5KK,13,2021-06-25 19:00:19
26,"How are companies harnessing hydrogen, solar, battery storage and carbon capture to accelerate the transition to clean energy? $GS' Jessica Katz explains in The Daily Check-In: https://t.co/gJdyB2EYPv https://t.co/ISRkMHJVLz",19,2021-06-25 17:00:41
27,Pulitzer Prize-winning historian Alan Taylor discusses how a strong sense of unity didn’t exist among the 13 colonies until after the Revolution in a #TalksAtGS: https://t.co/9KiMBwkrex https://t.co/Ig3Eq9DLG7,12,2021-06-24 19:00:16
28,"Actor, director and producer @danieldaekim discusses his perspective on social equality in a #TalksAtGS: https://t.co/SU4Z6OmtXX https://t.co/xc35yvurAa",17,2021-06-23 18:00:16
29,RT @GSCareers: We're honoring Alan Turing’s legacy and you can too! Become a codebreaker and crack this one from #GSEngineering. Hint: Turi…,0,2021-06-23 15:35:55
30,$GS Research’s Jari Stehn explains why he’s bullish on Europe’s economic growth while Richard Privorotsky of Global Markets looks at investor positioning in the latest episode of Exchanges at Goldman Sachs: https://t.co/ot6RLfIfc9 https://t.co/ues2f21bxW,14,2021-06-23 15:00:12
31,Shengzu Wang from $GS Private Wealth Management joins @CNBC to discuss China’s equity market and the impact of rising commodity prices https://t.co/7dTXVQQ7CO https://t.co/0MVpI1FckH,18,2021-06-23 09:14:59
32,"Watch Kenneth Ho, $GS’ head of Asia Credit Strategy, explain why “too big to fail” may no longer apply in China on @BloombergTV.
https://t.co/tVqhGB3Iqu https://t.co/waF4QfUwl9",13,2021-06-23 07:30:01
33,"Watch Naohiko Baba, $GS’ chief Japan economist, discuss the impact of the Olympics on Japan’s economy on @CNBC.
https://t.co/cTz8uvg7VQ",27,2021-06-23 05:43:18
34,"From Goldman Sachs to the White House–and back again! Dina Powell McCormick, $GS Global Head of Sustainability and Inclusive Growth, spoke with @SheSaid2podcast about her career and the development of @10KSmallBiz, @10KWomen and One Million Black Women. https://t.co/CaK7JeUFFD",25,2021-06-22 20:01:45
35,"“If we want to try to move the needle–the number one thing is, how do we shift the culture?” - Founder and CEO of @GreenMondayHK David Yeung in a recent episode of #TalksAtGS: https://t.co/KuJB2JG82m https://t.co/EFJrhO2akS",17,2021-06-22 19:00:20
36,"RT @HOUBizJournal: Small businesses across the nation are struggling not only with hiring employees but also increased operating costs, acc…",0,2021-06-22 17:11:54
37,"RT @GS10KSmallBiz: As a #10KSmallBiz grad and member of the LGBTQIA+ community, Letha has always been true to her identity while running @b…",0,2021-06-22 17:09:07
38,Is Europe’s economic recovery here to stay? $GS' Jari Stehn and Richard Privorotsky discuss the economic outlook and market implications on Exchanges at Goldman Sachs: https://t.co/HVSM0gUWTi https://t.co/pA00pax7wo,18,2021-06-22 15:34:21
39,We’re a proud partner of #PrideSummit alongside @lesbiantech—to show up for the LGBTQ+ community and change the face of tech. https://t.co/fcmUi8Igew https://t.co/HD7IMNFh3K,8,2021-06-22 14:09:25
40,"Watch Jeff Currie, $GS Head of Commodities Research, discuss his outlook for oil and other commodities on @CNBC. https://t.co/jIdSsv8oOj",18,2021-06-21 16:39:48
41,"President and CEO of @CruiseNorwegian, Frank Del Rio, discusses the progress he’s seen in the cruise-line industry reopening in a #TalksAtGS: https://t.co/wMk8tSWzwV https://t.co/8ezIETec7b",18,2021-06-21 15:00:21
42,"Watch $GS Chief Asia Pacific Economist Andrew Tilton discuss the economic recovery in Asia, interest rate hikes and the outlook for labor markets on @BloombergTV.
https://t.co/xuCyA7USwI https://t.co/q8O2bs4pel",21,2021-06-21 08:09:14
43,".@USATODAY Washington bureau chief and author, @SusanPage, on why she felt compelled to write her second biography on @SpeakerPelosi: https://t.co/kj2Lk39SJU https://t.co/RLkbeDAtBD",5,2021-06-20 17:00:24
