,tweets,likes,time
0,Update your Google Search widget for a home screen that’s so *you* 👇 https://t.co/vhSDnIuudJ,185,2021-07-02 18:10:28
1,"There’s no place like home(screen).
 
Personalize your Google Search widget on iOS to search faster, in style → https://t.co/gFmpJax3jK https://t.co/JBEqJ0qb35",354,2021-07-02 18:03:06
2,"@Grandfather96 Hi, Sreehari. Mind if we jump in? Thanks for your review! In order to help you, could you kindly elaborate on your feedback? If problems persist, you can also visit our Help Center: https://t.co/GxQkdkW6Kd. We hope we helped.",0,2021-07-02 17:59:54
3,@aawash_neupane Hi Aawash. Let's see what we can do to help. Look out for a DM with next steps.,0,2021-07-02 17:30:08
4,@NChaudh56666328 Hi there. Let's see what we can do to help. Look out for a DM with next steps.,0,2021-07-02 17:29:09
5,@SatpalRai8 Hi Satpal. Try recovering your username here: https://t.co/XTuibbu7LT. You will need to know the name on the account and one of the recovery options to recover your username. Hope this helps.,0,2021-07-02 17:28:45
6,@rajesh1158 Hi there. Let's connect you with our Support Team for help. Follow the link to get some help: https://t.co/HASKZp2Ul0. Keep us posted!,0,2021-07-02 16:51:31
7,@TracyHouck7 Hi Tracy. Have you already tried recovering your account using the steps here: https://t.co/CJQaJUw3RV? These tips may help: https://t.co/vQSZijYFh6. Let us know.,0,2021-07-02 16:40:54
8,"@swathi31139188 Hi Swathi. We suggest contacting the appeals team: https://t.co/ANRBaW9H7T. If you don't know the password on your account, you can recover it here: https://t.co/CJQaJUw3RV. We hope this gets resolved soon.",0,2021-07-02 16:36:27
9,@Rajshreta2 Hi Rajshreta. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.,0,2021-07-02 16:13:48
10,"@Karan44552212 Hi there. To submit feedback, You can do so on your desktop at Drive &gt; Help (question-mark icon) &gt; Send feedback. Or via app Menu &gt; Help &amp; feedback &gt; Send feedback. Thanks!",0,2021-07-02 15:59:38
11,"@jinsoul4mysoul Hi there. We suggest contacting the appeals team: https://t.co/ANRBaW9H7T. If you don't know the password on your account, you can recover it here: https://t.co/CJQaJUw3RV. We hope this gets resolved soon.",0,2021-07-02 15:37:53
12,Light up the skies with your own Fourth of July virtual fireworks show. Head to @googlearts to set off #AR fireworks above iconic U.S. landmarks → https://t.co/3CCpYqHx7f 🎆 https://t.co/gLBhYIfwlV,321,2021-07-02 15:31:24
13,"@MohitRZ1 Hi Mohit. If the account was deleted recently, try these steps to restore it: https://t.co/6gCYZSO9DW. Hope that helps.",0,2021-07-02 15:20:31
