,tweets,likes,time
0,"How could potential tax increases affect the economy and the stock market? Find answers to this and other top investor questions about the proposed federal tax reforms:
https://t.co/uTkLheczjX",3,2021-07-02 19:00:01
1,It's no longer a question of whether the economy can recover but how long growth will continue. Find out more about how this recovery could be different from post-2008: https://t.co/hZHDiLjX4s https://t.co/fXSbNlmunQ,3,2021-07-02 14:49:25
2,"Jon Jensen, Executive Director, D&amp;I Committee Member for Morgan Stanley at Work, shares insights with @BenefitsPRO on the unique #financialwellness challenges and needs of LGBTQ+ employees. See the full article: https://t.co/IThQ1pJwy3",1,2021-07-01 20:07:15
3,"At Morgan Stanley, we take pride in helping clients meet long-term financial goals while contributing to a more equitable society. Here’s how we do it: https://t.co/4vNaxH8qQz https://t.co/LvK49kWPOT",4,2021-07-01 15:40:20
4,"The changes forced by the pandemic have led employers and employees alike to consider how we can make work...work better. Our host Sonari Glinton explores the end of the 40-hour work week on the Now, What’s Next? Podcast. https://t.co/TOVSyj5pnV https://t.co/HycHVk581c",10,2021-06-30 21:34:51
5,The robust return of business investment is set to be a key theme for investors. On this episode we examine the bullish outlook for communications equipment and infrastructure. https://t.co/D4LuONma8t,10,2021-06-30 15:04:23
6,"Home sales have cooled lately, but Morgan Stanley sees it as little more than a pause in a strong housing market. Wealth Management Chief Investment Officer Lisa Shalett discusses why.
https://t.co/ifyjOKKEAY",6,2021-06-30 12:00:01
7,"Though we continue to work remotely in most locations, the “Lights on Interns” initiative aims to welcome these bright and talented individuals to our workplace community. Read more from the @TimesofIndia: https://t.co/J9qWgspasr",15,2021-06-30 01:59:39
8,"As Co-Chair of the Pride and Ally Network at Morgan Stanley, Jen Ng works with firm leadership to develop new policies, practices, and opportunities to benefit LGBT+ employees. Learn more about her career at Morgan Stanley: https://t.co/jlE2teNZGN #WeAreProud https://t.co/QQhhbjR2xi",8,2021-06-29 21:04:00
9,We are proud to be a signatory of the Statement of the European Union Diversity Charter in Hungary. Our global community is diverse and embracing this makes us stronger. Read more: https://t.co/rA4MFyLZlA https://t.co/4ne7VObUc0,9,2021-06-29 16:40:43
10,"We’re thrilled to show our support for @FeedingAmerica, both on our Times Square billboard and through a $2.12 million grant that will provide families with more options to meet their needs at food banks. Learn more: https://t.co/yl5DLliFwq #MSGivesBack #LightsonBroadway https://t.co/5MISQhml62",12,2021-06-29 13:08:43
11,"20 Morgan Stanley advisers made Barron’s list of Australia’s Top 100 Financial Advisers for 2021 – more than any other firm – including the #1 adviser for two years in a row. A great result. 
https://t.co/BcD55ytuc6",14,2021-06-29 00:59:50
12,"It’s a digital currency, but it’s not cryptocurrency. It’s issued by a central bank, but it’s not cash. Confused? Intrigued? Click here to learn more: https://t.co/uoN6y0KlC3 https://t.co/LDLQIpw7DC",28,2021-06-28 18:10:46
13,"“How do we re-architect work so it’s happening in the way that humans work?” - @Deloitte’s Global Human Capital Leader @Erica_Volini, alongside @Kickstarter’s Chief People Officer Mai Ton and @CNBC journalist Bertha Coombs at our Senior Multicultural Leadership Conference. https://t.co/n5irTHRo7E",12,2021-06-25 19:16:32
14,"“As a nation and world, we have to develop and share the capabilities to address common components of a global pandemic,” said @CommonSpirit Health CEO @LloydHDean at our Senior Multicultural Leadership Conference today. Learn more about the conference: https://t.co/wOWIdthdSP https://t.co/3xnekXVZJP",12,2021-06-25 17:48:14
15,"“We’ve kept our foot on the gas with regard to the Institute for Inclusion,” says Vice Chair @CarlaAnnHarris. Watch @CNBC to hear about recent milestones like the Next Level Fund, the Senior Multicultural Leadership Conference and more. Watch now: https://t.co/hZ0LYBQSm1",10,2021-06-25 12:56:55
16,Managing Director Alice Vilma gave the closing remarks at day 1 of our Senior Multicultural Leadership Conference. Learn how she’s applying her expertise to our new fund that targets high-growth companies with multicultural and female founders: https://t.co/9rrYQqQemy https://t.co/UX0crg2vmu,16,2021-06-24 21:20:18
17,"Industrialists like Henry Ford made the 40-hour work week popular in the 1920s. Host @Sonari Glinton examines how it’s working out on the Now, What’s Next? Podcast. Listen now:  https://t.co/4cdxy2bPSM",10,2021-06-24 19:44:58
18,"In addition to leading Global Marketing for Investment Management, Charles Burke Jr. helps guide LGBT+ recruiting, inclusion, and belonging across our firm as co-Chair of the Pride &amp; Ally Network. https://t.co/XrguU652u1",6,2021-06-24 14:30:47
19,"Thanks for stopping by @Cheyenne_Woods! Mentorship for young women is essential, and we’re thrilled to work with you and @TheFirstTee to prepare young golfers for success. Learn more: https://t.co/kI0t9fT2MX https://t.co/DLV6oH21hU",25,2021-06-23 21:36:30
20,"Companies with the highest intangible asset intensity have both higher growth and more dispersion, according to a new report from Consilient Research. This has important implications for how investors should think about corporate growth rates. https://t.co/3lWArLKb7E https://t.co/JT7E4BsbAq",13,2021-06-23 19:00:01
21,"In celebration of International Women in Engineering Day, we honor the achievements of women engineers around the world like Managing Director and Distinguished Engineer Yunchi Nam, who helps lead our data architecture strategy and implementation. #WomenInTech  #INWED21 https://t.co/kFWz9JbUBT",18,2021-06-23 17:15:00
22,"Learn how Morgan Stanley is investing in startups founded by women and multicultural entrepreneurs, with the support of @Hearst, @Microsoft and @Walmart. https://t.co/jtCG4NHQYF",12,2021-06-23 16:22:28
23,"For Honeywell CEO Darius Adamczyk, transforming a legacy industrial company into a tech powerhouse was his mission. But how do you disrupt a playbook that has worked successfully for over 100 years? Watch the full conversation now: https://t.co/gzIDV8NkOb https://t.co/GW0TbvwneA",6,2021-06-23 14:06:28
24,"It’s a digital currency, but it’s not cryptocurrency. It’s issued by a central bank, but it’s not cash. Confused? Intrigued? Click here to learn more: https://t.co/la66f4I4Zp https://t.co/Kh96B9iNud",29,2021-06-22 18:55:49
25,"The twin virtues of scale and diversification in our high-quality holdings have played a part in their strong earnings performance, both through the recent crisis and over time. Marcus Watson, of our International Equity team, explains. https://t.co/DDuAool2zW https://t.co/an52qyR5Us",7,2021-06-22 14:00:02
26,NEW PODCAST: @wealthparatodos and @Bea_Latina join @CarlaAnnHarris to discuss breaking down the wealth gap by promoting financial literacy in the Latinx community. Listen now: https://t.co/TQiUgQYWss https://t.co/AYdJgurssL,19,2021-06-22 13:13:20
27,"The final count is in. In recognition of these efforts, our firm is proud to donate $5 million, the equivalent of 50 million meals, through grants to our hunger partners around the world.
Learn more: https://t.co/INm4D7c4uA #MSGivesBack https://t.co/OQsDqunBjd",17,2021-06-21 19:32:27
28,"Michael Zezas, Head of US Public Policy Research, discusses his outlook for infrastructure reform on @CNBC Squawk Box. Watch here: https://t.co/AXNTOAqJx2 https://t.co/3DGNcBJqzM",7,2021-06-21 16:14:55
29,"Say hello to our nearly 250 EMEA summer interns who hail from over 35 different countries and include world class athletes, entrepreneurs and a TikTok star. Follow along with #MyMSSummer and explore opportunities at our firm: https://t.co/4dWQ2kfK0q https://t.co/YbYhkqK1U4",24,2021-06-21 14:06:44
30,Today we honor #Juneteenth and emancipation from slavery in the U.S. We also affirm our commitment to addressing inequality and injustice. Learn about our firmwide efforts to promote racial equity: https://t.co/lgvbolviSO https://t.co/C8XFkzK5Ah,28,2021-06-19 14:45:36
31,"Professional video gamers face short careers and unpredictable incomes. That’s why it’s critical to build a robust financial plan. Here’s how.
https://t.co/c0pCorvTRa #esports",13,2021-06-16 14:00:00
32,"This World Elder Abuse Awareness Day, learn how to help keep yourself and your loved ones protected against fraud and identity theft.
https://t.co/3q8TrWNUdj",19,2021-06-15 13:59:43
33,Members of the Morgan Stanley Pride and Ally Network joined together remotely as part of our annual LGBT+ Pride Month celebrations! Click here to learn more about our diversity and inclusion initiatives: https://t.co/cbpQMeXDqm #WeAreProud https://t.co/wd35PoJ4uu,12,2021-06-14 21:37:20
34,We are proud to feature Financial Advisor Carolina Silva as she discusses the importance of LGBTQ+ representation in finance. “It's important to work with a Financial Advisor who accepts you for who you are.” #MSWomenWithoutLimits https://t.co/FbEWKrLE5y,6,2021-06-14 20:25:27
35,It's no longer a question of if the economy can recover but how long growth with continue. Here's why this recovery could be very different from post-2008. https://t.co/PQjTk3Ybty,25,2021-06-14 15:43:51
36,We are honored that Morgan Stanley’s Multicultural Innovation Lab has been honored as one of the World’s Best Financial Innovation Labs by @GFMag! Read more: https://t.co/BJO9Lf2t77 #MCIL https://t.co/oH3GjgCYCI,21,2021-06-11 22:03:38
37,Morgan Stanley Research takes a deep dive on which businesses are likely to benefit most from the core U.S. infrastructure bill. Read our six full takeaways for investors: https://t.co/gcEDfKbXDd https://t.co/D7O2ZwdNHp,36,2021-06-11 19:48:16
38,Fixed income investors play an important role in pursuing positive sustainability outcomes through a constructive dialogue with issuers around ESG. Read to find out how the our Fixed Income Team incorporates engagement throughout their investment process. https://t.co/KVFHzWOKGi https://t.co/gFtlPyUmOF,16,2021-06-11 16:30:01
39,"Discover why investors may need to get more creative for the rest of 2021, despite strong global economic growth. How to navigate a hotter, shorter cycle: https://t.co/A0aCfyncXE",17,2021-06-11 14:59:42
40,"Trees As Infrastructure, a project of @darkmatter_labs, is establishing nature as a critical part of urban infrastructure, alongside bridges, roads and rail, enabling investment, profitability and sustainability. https://t.co/uN9eweZVtD (6/6) https://t.co/0XXtn24mKz",16,2021-06-10 21:00:15
41,".@SunCultureKenya is bringing together innovations in inclusive finance, renewable energy and sustainable agriculture to help make smallholder farming in Africa more profitable and sustainable. https://t.co/0xyMVM9lSW (5/6) https://t.co/eUYNaFGpwB",7,2021-06-10 20:58:48
42,.@siklusrefill is an organization tackling the nexus of poverty and plastic waste in Indonesia by operating refill stations through local stores and mobile delivery carts that help reduce plastic waste and save consumers money. (4/6) https://t.co/7l56VPt8cB,8,2021-06-10 20:53:47
43,"MySOC is a project of @SkidmoreCollege and @michiganstateu that is harnessing vast amounts of data to create a new market for soil carbon measurement, in partnership with farmers committed to sustainability. (3/6) https://t.co/xJoLMnQr18",6,2021-06-10 20:46:01
44,.@mPharmaHealth is a Ghana-based health-tech startup that is using e-commerce tools to revolutionize the drug supply chain and make healthcare accessible and affordable in Africa. https://t.co/XlbxP2yy7c (2/6),12,2021-06-10 20:40:44
45,"Five organizations across four continents compose the inaugural cohort of a new Morgan Stanley initiative that helps scale sustainability solutions. Meet the members of the Sustainable Solutions Collaborative ⬇️ (1/6)
https://t.co/kYmLcTWlrR",22,2021-06-10 20:26:13
46,"With tensions not abating, investors should prepare for a world where these major economies are significantly less integrated. Michael Zezas explains.  https://t.co/QkkkYocWKl",11,2021-06-10 19:32:36
47,"What is a #circulareconomy? Ellen MacArthur, the fastest solo sailor to circumnavigate the globe and founder of the Ellen MacArthur Foundation, joins Chief Sustainability Officer Audrey Choi to help explain. @circulareconomy https://t.co/yw26eFky1i",15,2021-06-10 12:30:00
48,"“We continue to introduce investors to new age companies in FinTech, EduTech and HealthTech as they prepare to get listed over the coming years,” says Sanjay Shah in an interview with @CNBCTV18News on the sidelines of our 23rd India Investor Summit: https://t.co/NQVtYGjJz4 https://t.co/PIzAuPm72u",12,2021-06-10 04:04:47
49,"Congratulations to Mona Benisi, our Global Real Assets Team Head of Sustainability, on being named a winner at the 2021 Women in Sustainability Leadership Awards (WSLA). Learn more: https://t.co/yZ30hIWpjf https://t.co/q4yTepnfcT",9,2021-06-09 18:44:16
50,"Five breakthrough innovations win funding and resources as part of a Morgan Stanley initiative that advances systemic solutions for complex sustainability challenges. Find out more: 
https://t.co/1hcBoPKvvs",18,2021-06-09 15:06:16
51,"“The next wave of foreign capital into India will be into the upcoming share issuances by new-age technology or healthcare companies,” says Gokul Laroia, Co-Head of Global Equities and Co-CEO of Asia Pacific on the sidelines of our Virtual India Summit https://t.co/i8scfVvSsu https://t.co/KHobeLX7mD",24,2021-06-09 05:34:34
52,PODCAST: Lost and discarded commercial fishing gear is the largest source of macro-plastic waste in our oceans. How does an entire industry address this problem?  https://t.co/NyjgJmkAHn #AtScalePodcast #WorldOceanDay,7,2021-06-08 23:32:23
53,"For the 7th consecutive year, we’re proud to be voted #1 in @iimag’s All-Asia Research Team survey. Our research teams ranked in all 36 available categories across sectors, macro/strategy and markets, including 17 top ranked teams. For more: https://t.co/F5E6eqLKxQ",8,2021-06-08 21:00:00
54,Using tech to clean the ocean: A team of Morgan Stanley Technology volunteers designed and built a cloud-based digital platform for @BillionOyster to track and monitor oyster growth. Learn more: https://t.co/r0NYwsjX2L https://t.co/Z3BbPzAHQv,18,2021-06-08 20:32:02
55,New macro data on employment and consumer prices are unlikely to settle market uncertainties about inflation and course of the recovery. Mike Wilson explains. https://t.co/49veqI7Q4r,6,2021-06-08 14:35:15
56,"“In spite of the risks, we are in the midst of a multi-year bull market,” says Ridham Desai, our Head of India Equity Research, as we kick-off this year’s Morgan Stanley Virtual India Summit. You can read more about his outlook in The @EconomicTimes: https://t.co/6LhifZUxhd https://t.co/2lIdT3rnvj",27,2021-06-08 04:04:33
57,Today we welcome over 720 Summer Analysts and Associates as they begin their journey with Morgan Stanley in North America. Follow their exciting endeavors over the coming weeks with #MyMSSummer. Learn more about opportunities at Morgan Stanley: https://t.co/X8VQjIQLaM https://t.co/G28qlU1l6m,29,2021-06-07 19:59:59
58,"When’s the last time you visited a mall? Their presence in the retail landscape is tenuous, with 1 in 4 malls in the U.S. at risk of closing in the next 5 years. Listen to @Sonari explore the fate and the future of malls around the world: https://t.co/0CsQM2fIha https://t.co/oarMEnvJwY",6,2021-06-07 17:30:01
59,Learn how companies are embracing sustainability as an opportunity to drive higher public-market valuations: https://t.co/aC0Tv6a5rM https://t.co/L8BmSMmJp5,11,2021-06-06 23:14:24
60,"Move for Meals is all about counting steps. They don’t have to be big ones. Alberto Tamura, President and CEO of Morgan Stanley Japan and his son joined our annual campaign to fight hunger around the world. Learn more: https://t.co/OmdPBOU8mE #MSGivesBack https://t.co/oExinAqsoV",18,2021-06-06 10:00:00
61,"Every step counts as Morgan Stanley employees across Asia Pacific, including Co-CEOs, Gokul Laroia and Wei Christianson, join in to Move for Meals to fight hunger with our charity partners @FeedingHK and @WorldVision. Learn more: https://t.co/xfuN3xH24z #MSGivesBack https://t.co/E3nfq4ADcO",18,2021-06-04 22:00:06
62,How do you disrupt a playbook that has worked successfully for over 100 years? Watch @honeywell CEO Darius Adamczyk and Morgan Stanley’s Katy Huberty dive into digital transformation: https://t.co/sqWSzYcHAl https://t.co/WHO9hkTcLm,24,2021-06-04 20:42:23
63,"This week, thousands of employees are joining together to walk a bit more to feed a lot more in our second Move for Meals campaign. Learn about how #MSGivesBack: https://t.co/u5N0Irobdv https://t.co/8xKCYW6bxS",11,2021-06-04 01:00:01
64,"Learn more about how our cloud partnership with @Microsoft @Azure from Rob Rooney, our head of Tech, Operations, and Firm Resilience: https://t.co/YXnxEcYdlF #MSTech",22,2021-06-03 23:57:38
65,RT @CFUF_Baltimore: We have news! CFUF won first place in Morgan Stanley's 12th Annual U.S. Strategy Challenge! We are very excited and gra…,0,2021-06-03 21:57:50
66,"Meet Michelle, who uses her fluency in several languages and her love of exploring new cultures in her job as an Associate on our Asia-Pacific Investment Banking management team in Hong Kong. https://t.co/IANQrkTWEh",12,2021-06-03 16:04:50
67,Now is the time for institutional investors to re-examine the role of U.S. Treasurys in their fixed income portfolios.  Our Portfolio Solutions Group explains why. https://t.co/ks6NTAMGRN https://t.co/cqszD21wQf,13,2021-06-03 13:14:06
68,"Our new #cloud partnership with @Microsoft @Azure will bring together our engineering teams with the goal of providing better services and security for our clients and employees, while informing industry-specific tech innovations. Learn more: https://t.co/iq2tI0df2y",22,2021-06-02 21:17:12
69,"Why China’s ambitious blueprint to shape tech standards may have significant impact on the future of tech. Insight from Shawn Kim, Head of Asia Technology Research. https://t.co/kftFB4fy7l",9,2021-06-02 20:02:12
70,Our Move for Meals campaign is already in full swing with employees getting active in the name of tackling world hunger with charity partners like @ARCHE_Kids. Andrea and Katja from our Frankfurt office racked up steps on one sunny lunchbreak. https://t.co/Vpa2XbIrvM #MSGivesBack https://t.co/TPq82WhkAa,11,2021-06-02 16:43:11
71,Happy Pride! #WeAreProud to celebrate the diversity of the LGBT+ community and power of identity with members of our global Pride and Ally Network. https://t.co/kdk2Pbmbok,27,2021-06-01 21:20:26
72,Is it a bad thing that many workplace changes caused by the pandemic are here to stay? Not necessarily. Find out why: https://t.co/SLrW0Tl16k #morganstanleyatwork https://t.co/8G8r6zMbhf,10,2021-06-01 19:49:44
73,"Employees like Ben, TJ, @ileanamusa3 and Elizabeth Dennis got an early start on walking for this year's Move for Meals initiative, supporting @FeedingAmerica and our other global charity partners. Learn more: https://t.co/rgCv1tUEAO #MSGivesBack https://t.co/PApg3su3jy",16,2021-06-01 17:00:59
74,"Even as we face the continuing challenges of the pandemic, our commitment to helping those in need remains strong. This week we'll be sharing how our employees are joining together to walk a bit more to feed a lot more. https://t.co/sPvD1oMIs4 #MSGivesBack https://t.co/dbAHfOTABq",13,2021-06-01 02:19:54
75,"Each Memorial Day, we honor the people who have given their lives while serving in the United States armed forces across the front of our Times Square headquarters. Today, take the time to remember those we have lost. #MemorialDay https://t.co/lwIYofIhwJ",41,2021-05-31 17:16:18
76,"With more than 18 million veterans living in the U.S. today and numerous nonprofit organizations dedicated to improving their lives, there are a vast number of ways to approach your giving to veterans causes. 
https://t.co/fgdIu8wFPg",12,2021-05-31 12:59:59
77,"As we shift to the middle stage of the business cycle, it’s as important as ever for investors to guard against complacency. Wealth Management Chief Investment Officer Lisa Shalett discusses three key risks to watch:
https://t.co/UeyIXEeRAN",17,2021-05-30 16:04:35
78,"In honor of #529Day, take a moment to connect with your Morgan Stanley Financial Advisor on your plans for your loved ones.
https://t.co/7O9EcKedR3",8,2021-05-30 03:47:13
79,"As co-chair of the Asian Employee Network, Managing Director Ashwin Krishnan works to create a space where employees can learn and grow through exposure to the experiences of others. Learn more about his role: https://t.co/ncS1NMxiGi #APAHM #AAPIHM https://t.co/nl1BPXyZdE",9,2021-05-30 00:44:42
80,"Chief US Equity Strategist, Mike Wilson, discusses his mid-year outlook and view that the mid-cycle has arrived on @CNBC: https://t.co/WcjrzXak7H https://t.co/jTKRM0RTY3",11,2021-05-28 20:59:53
81,Chief Human Resources Officer Mandell Crawley spoke to an audience of top Morgan Stanley Financial Advisors and Managers at our Multicultural Leadership Summit this week. Click to learn more about his career at Morgan Stanley: https://t.co/3bJGFmVVTs #MorganStanleyMLS2021 https://t.co/rbpapNdzDx,15,2021-05-28 13:00:02
82,"NEW PODCAST: 1 in 4 malls in the U.S. may close over the next 5 years. Now, what’s next? @Sonari explores why we go to the mall, how we can build them more sustainably and how malls on the brink are being reimagined. https://t.co/sPKGcARXlD",16,2021-05-28 11:30:00
