,tweets,likes,time
0,"@dowilliams I'm sorry to see this and want to make sure we address your concern. Please tell us more about what happened through DM along with your name, address, and phone number (no account numbers). We're here to help. -Hanj https://t.co/olzw5ueFSh",0,2021-07-02 17:51:58
1,"@WarriorsSupport We are truly grateful for your service, please enjoy your new home!",0,2021-07-02 17:40:53
2,RT @WFInvesting: Discussing money with your kids can often become awkward. Listen to the newest #podcast for tips on how to make these conv…,0,2021-07-02 17:12:50
3,"@Homeoffree61 We would like the opportunity to look into this, please send a DM with additional details of what occurred along with your full name and phone number. -Angel https://t.co/olzw5ueFSh",0,2021-07-02 17:11:08
4,"@eppey_ I'd like to have a better understanding of your situation, to see I can best assist you. In a DM, please provide us more details without sharing account numbers. -Juju https://t.co/olzw5ueFSh",0,2021-07-02 16:54:16
5,"@Homeoffree61 I noticed your tweet and this is not the experience we want you to have. Without sharing any account numbers, please send a DM with more details about what occurred. –Angel https://t.co/olzw5ueFSh",1,2021-07-02 16:29:22
6,"@kendra_morancy I noticed your tweet, Kendra. Is there something I can look into for you? If you need assistance, please send us a DM with the details (no account numbers).  I will do my best to assist. Thank you. -Loni https://t.co/olzw5ueFSh",0,2021-07-02 16:00:25
7,"@RaiBroadnax I'm sorry to see this. What made you feel this way? Is there something I can look into for you? If you need assistance, please send us a DM with the details (no account numbers). I will do my best to help. Thank you. -Loni https://t.co/olzw5ueFSh",0,2021-07-02 15:56:14
8,"@RandomGrl_ Hello, we are truly sorry for the long wait. We'd like to learn more about your concerns. Please send us a DM with more details about what occurred (no account numbers). We’d appreciate your time. - Alex https://t.co/olzw5ueFSh",0,2021-07-02 15:53:59
9,"@SCDawg864 Hi, Zack. I'd like to have a better understanding of your situation, to see how I can best assist you. In a DM, please provide us more details without sharing account numbers. -Juju https://t.co/olzw5ueFSh",0,2021-07-02 15:46:18
10,"@Lashonk48 I'm sorry you feel this way. What happened? If there's something you need assistance with, please tell me about your situation (no account numbers). I'll help you as best I can. Thanks. -Hanj https://t.co/olzw5ueFSh",0,2021-07-02 15:27:35
11,@Virgokidtoofly This sounds like something a banker may need to review regarding your account. Please give them a call at 1-800-869-3557 so they can authenticate you and look into this. -Hanj https://t.co/olzw5ueFSh,0,2021-07-02 15:18:51
12,@Paulabrs You're welcome. - Alex,0,2021-07-02 15:05:24
13,"@Paulabrs I understand your concern, Paula. To determine what may be occurring, please contact technical support at 1-800-956-4442, so they can look into this for you. Thank you. -Loni",0,2021-07-02 14:58:27
14,"@BMichaelHigh Hi, Bryant. I understand your direct deposit concern. For immediate assistance, please call 1-800-869-3557 to speak with a banker. If you need further help, let me know. -Roger",0,2021-07-02 10:05:57
15,"@mopland Hi, Mark. I hear your frustrations. Without sharing account numbers, DM us with more details about what you need help with and I'll do my best to assist. Thanks. -Roger https://t.co/olzw5ueFSh",0,2021-07-02 09:51:58
16,"@LoisVango I noticed your tweet, and I'd like to look into your concern. Please send us a DM with more details about the situation (no account number). Thanks. -Sofia https://t.co/olzw5ueFSh",0,2021-07-02 09:43:37
17,"@JaneBuff2990 Hi, Jane. I received and responded to your DM. Thanks. -Roger",0,2021-07-02 09:14:57
18,"@LA__WRAY I see why you're concerned. I highly suggest calling 1-800-869-3557, and speak with our specialists, so they can authenticate you and get to the bottom of this. -Jules",0,2021-07-02 08:48:07
19,@LA__WRAY We'd hate to see you go. Can you fill me in on what's going on (no account numbers)? I'd like to see how I can help. -Jules,0,2021-07-02 08:33:24
20,"@cemtvmagazine I see how this can be frustrating. Please send us a DM your full name, and phone number that we have on file, so I can have our specialists look into this, and help. -Jules https://t.co/olzw5ueFSh",0,2021-07-02 08:30:19
21,"@KirinMar_ We add your direct deposit amount to your Available Balance on the same day we receive your deposit. For info about deposits, including when a direct deposit will be credited to an account, please visit https://t.co/wXWRBxf6fx or call 1-800-869-3557. -Sofia",0,2021-07-02 08:30:02
22,@taylornb Sorry for the frustration this has caused you. I'm unable to discuss account specifics in this platform therefore I'm unable to give you an accurate time frame as to when you will receive your deposit. If you wish to discuss this further call us at the number I provided. -Jules,0,2021-07-02 08:23:22
23,"@Eli_BB__ We add your direct deposit amount to your Available Balance on the same day we receive your deposit. For info about deposits, including when a direct deposit will be credited to an account, please visit https://t.co/BlJnJKnLdR, or call 1-800-869-3557. Thanks. -Sofia",0,2021-07-02 08:19:04
24,@Eli_BB__ I hear your frustration. What happened? Can you share more information about your concern (no account numbers)? -Jules,0,2021-07-02 08:01:09
25,"@BruceWayne5150 Hi there. We add your direct deposit amount to your Available Balance on the same day we receive your deposit. If you sign up for Alerts, you can choose to be notified when a direct deposit is available in your account. Visit https://t.co/qR5z2GRWzK for more info. -Sofia",0,2021-07-02 07:55:51
26,@taylornb Appreciate you getting back to me. Please call the number that I previously provided for assistance with your inquiry. -Jules,0,2021-07-02 07:46:53
27,"@taylornb Hello! If you need us to track a transaction, please call us at 1-800-869-3557, and speak with our specialists, so they can authenticate you and provide further help. -Jules",0,2021-07-02 07:36:10
28,"@bighitfr Hi, Aaron. We appreciate your wonderful message. When you get the chance, please DM us with more details about your experience (no account numbers). I'd like to their this with their team. Thank you. -Ludwicke https://t.co/olzw5ueFSh",0,2021-07-02 05:48:44
29,"@AgnesTa36173914 Hello, Agnes. If you need to connect with a banker while in the Philippines, call 00-800-86935577, or dial 1-800-869-3557 using internet calling services such as Viber, Skype, or Google Voice. -Choi",0,2021-07-02 05:27:49
30,@Loveryan_x I'm sorry you're encountering issues with your mobile banking access. Please call 1-800-956-4442 for real-time assistance. -Choi,0,2021-07-02 04:20:16
31,@TinaGri20610418 I see you're upset. What happened? -Choi,0,2021-07-02 03:56:38
32,@desdamonas_rock Thanks for the support!,0,2021-07-02 02:50:20
33,@rosa__newton We'd hate to see you go. Can you tell me more details about what made you consider this (no account numbers)? I'd like to see how I can help. -Jules https://t.co/olzw5ueFSh,0,2021-07-02 01:43:58
34,@mbhawley You are welcome -- we're glad you liked it!,3,2021-07-02 01:15:25
35,"@myheadBbroke I am sorry you've had this experience with us. I would like to make sure we address any issues you are having. Please provide more information about your experience with us in a DM, as well as your full name, phone number, and address (no account numbers). -Josh https://t.co/olzw5ueFSh",0,2021-07-02 00:58:25
36,"@SolauraKay Hello! I'm here to offer support and help get things straightened out. Without sharing account numbers, can you share more details about what's going on? -Jules",0,2021-07-02 00:08:56
37,"@champagne__dd I realize how upsetting this experience can be. I'd like to see what I can do to get this issue resolved for you. In a DM, please reply with your full name and phone number (no account numbers), so I can look into this for you. Thank you. -Juju https://t.co/olzw5tX4tH",0,2021-07-02 00:08:29
38,@seventailedfoxx I noticed your tweet and am sorry this has been your experience. Do you mind telling us more about this matter in a DM? For your privacy please do not include any account numbers in your responses. -Serge https://t.co/olzw5tX4tH,0,2021-07-01 23:19:02
39,"@LakersRuleNBA Hello, I’m truly sorry to see this. In a DM, please provide more details as to what happened to make you feel this way. For your security, please don't include any account numbers. I will try my best to help. -Serge https://t.co/olzw5tX4tH",0,2021-07-01 23:07:44
40,@Progmon1 We hope we can change this impression. We're here if you need our assistance. -Choi,0,2021-07-01 22:56:38
41,"@s4m4rn0ld Hello, Sam. I do apologize for any trouble. In a DM, please reply with your full name, and phone number (no account numbers).  I would like to see what I can do to help.  Please provide more details on your situation. -Juju https://t.co/olzw5tX4tH",0,2021-07-01 22:06:34
42,"@sonofasven I'm sorry for the frustration this has caused. If you'd like us to look into this concern, please provide your name, address, and phone number via DM. -Choi https://t.co/olzw5ueFSh",0,2021-07-01 22:06:23
43,"@Dumas2TTG Hello, we are truly sorry this has been your experience. I'd like to share your concerns. Please send us a DM with your full name, phone number, and the address of the branch you visited. For security purposes, please don't include any account numbers. Thank you. - Alex https://t.co/olzw5ueFSh",0,2021-07-01 21:51:54
44,"@snowgimper Hello, we are truly sorry this has been your experience. I'd like to share your concerns. Please send us a DM with your full name, phone number, and the address of the branch you visited. For security purposes, please don't include any account numbers. Thank you. - Alex https://t.co/olzw5ueFSh",0,2021-07-01 21:33:49
45,@_whittyk You are welcome. Please don't hesitate to reach out in the future. -Serge,0,2021-07-01 21:30:02
46,"@humdiggity Hello, I’m truly sorry to see this. In a DM, please provide more details as to what happened. For your security, please don't include any account numbers. I will try my best to help. -Angie https://t.co/olzw5ueFSh",0,2021-07-01 21:19:15
